Joe Ingles,UTA,82,2.7,0.24,0.74,2,0.8,1.9,41.8,48.4,0.041,0.279,0.037,0.018,0.315
Nik Stauskas,BKN,35,1.3,0.239,0.8,1,0.3,1,34.3,42.9,0.068,0.136,0.068,0,0.341
Alec Burks,UTA,64,2,0.236,0.77,1.5,0.5,1.5,33.3,36.5,0.12,0.12,0.104,0.008,0.368
Tyus Jones,MIN,82,1.2,0.235,0.9,1.1,0.4,0.9,42.1,43.4,0.141,0.111,0.131,0.02,0.444
Andrew Wiggins,MIN,82,4.5,0.235,0.8,3.6,1.4,3.6,39.5,41,0.108,0.108,0.1,0.013,0.407
Dillon Brooks,MEM,82,2.8,0.234,0.69,1.9,0.7,2.1,34.1,36.4,0.097,0.15,0.097,0.009,0.335
Jonathan Gibson,BOS,4,1.5,0.231,1.5,2.3,1,1.3,80,90,0,0.167,0,0,0.667
Josh Richardson,MIA,81,3.1,0.23,0.78,2.4,1,2.4,40.9,41.9,0.08,0.153,0.048,0.028,0.378
Tyler Dorsey,ATL,56,1.8,0.228,0.72,1.3,0.5,1.5,35.3,38.8,0.059,0.127,0.039,0.02,0.333
Ian Clark,NOP,74,1.8,0.227,0.95,1.7,0.8,1.5,49.6,53.5,0.015,0.115,0.015,0,0.446
Tyler Johnson,MIA,72,2.6,0.225,0.87,2.3,0.8,1.9,44.1,46,0.153,0.169,0.153,0.042,0.423
Rodney Hood,CLE,21,2.3,0.223,0.92,2.1,0.9,2,41.9,45.3,0.082,0.041,0.082,0,0.449
Iman Shumpert,CLE,14,1.2,0.215,0.41,0.5,0.1,0.7,20,25,0.059,0.353,0.059,0,0.176
Shaquille Harrison,PHX,23,1.5,0.215,0.57,0.9,0.3,1,27.3,27.3,0.114,0.257,0.114,0,0.286
Ron Baker,NYK,29,0.7,0.211,0.32,0.2,0,0.4,9.1,13.6,0.105,0.316,0.053,0,0.158
LeBron James,CLE,82,5.5,0.209,1.02,5.6,2,3.9,50.9,57.8,0.136,0.177,0.116,0.031,0.468
Eric Gordon,HOU,70,3.5,0.205,0.9,3.1,1,2.7,37.6,44.4,0.148,0.131,0.143,0.041,0.393
Evan Turner,POR,79,1.8,0.201,0.84,1.5,0.7,1.5,44.5,45,0.069,0.124,0.041,0.014,0.421
Tomas Satoransky,WAS,73,1.4,0.2,0.76,1.1,0.5,1,49.3,49.3,0.049,0.272,0.039,0.01,0.379
Khris Middleton,MIL,82,3.9,0.2,1.03,4,1.5,3.1,50,53,0.11,0.116,0.094,0.016,0.486
Taurean Prince,ATL,82,2.9,0.193,0.63,1.8,0.7,2,36.7,41.3,0.042,0.273,0.034,0.013,0.286
Ryan Arcidiacono,CHI,24,0.5,0.193,1.18,0.5,0.2,0.3,71.4,78.6,0.091,0.273,0,0,0.545
Garrett Temple,SAC,65,1.7,0.192,0.73,1.3,0.6,1.4,40,42.2,0.044,0.177,0.044,0.018,0.345
Buddy Hield,SAC,80,2.6,0.192,0.73,1.9,0.8,2.2,37.9,42.7,0.014,0.149,0.014,0.014,0.322
Tim Hardaway Jr.,NYK,59,3.3,0.189,0.76,2.5,0.9,2.6,35.9,40.8,0.083,0.14,0.073,0.016,0.347
Rodney Purvis,ORL,16,1.4,0.189,0.61,0.9,0.4,1.3,30,32.5,0.043,0.087,0,0,0.304
Nicolas Batum,CHA,64,2.4,0.187,0.77,1.9,0.7,1.7,40,45,0.103,0.219,0.065,0.032,0.355
Kevin Durant,GSW,68,4.3,0.182,1.04,4.4,1.6,3.3,48.4,53.6,0.138,0.135,0.125,0.038,0.471
Josh Jackson,PHX,77,2.8,0.18,0.69,1.9,0.8,2.2,33.9,34.8,0.106,0.102,0.097,0,0.37
Evan Fournier,ORL,57,3,0.178,0.93,2.8,1.1,2.4,45.7,50.7,0.081,0.145,0.064,0.023,0.422
Antonio Blakeney,CHI,19,1.6,0.176,0.77,1.2,0.4,1.2,34.8,37,0.133,0.1,0.1,0,0.4
Aaron Harrison,DAL,9,1.6,0.175,0.5,0.8,0.3,1.6,21.4,25,0,0,0,0,0.214
Bryn Forbes,SAS,79,1.2,0.173,0.88,1.1,0.5,1.1,45.3,47.1,0.062,0.072,0.052,0.021,0.433
Patrick McCaw,GSW,56,0.9,0.172,0.46,0.4,0.1,0.7,20,20,0.083,0.083,0.083,0,0.25
Jaylen Morris,ATL,6,1,0.162,0.33,0.3,0.2,0.5,33.3,33.3,0,0.5,0,0,0.167
Davon Reed,PHX,21,0.7,0.161,0.4,0.3,0.1,0.7,20,20,0,0,0,0,0.2
Tobias Harris,LAC,32,3,0.159,0.94,2.8,1.2,2.4,47.4,49.4,0.095,0.116,0.095,0.032,0.453
Kyle Anderson,SAS,74,1.3,0.155,0.85,1.1,0.4,0.9,47.7,47.7,0.129,0.183,0.129,0.011,0.441
Luke Kennard,DET,73,1.2,0.154,0.77,0.9,0.4,0.9,41.5,43.1,0.08,0.195,0.08,0.023,0.368
Abdel Nader,BOS,47,0.6,0.152,0.63,0.4,0.1,0.4,36.8,39.5,0.1,0.267,0.1,0,0.333
Langston Galloway,DET,58,1,0.151,0.73,0.7,0.3,0.9,37.3,40.2,0,0.089,0,0,0.339
Tyrone Wallace,LAC,30,1.6,0.148,0.55,0.9,0.4,1.3,28.9,28.9,0.061,0.163,0.061,0,0.286
Royce O'Neale,UTA,68,0.8,0.148,0.62,0.5,0.2,0.6,36.6,39,0.036,0.236,0.018,0.018,0.291
Damion Lee,ATL,15,1.7,0.146,0.62,1.1,0.5,1.7,28,28,0.038,0,0.038,0,0.308
Gary Harris,DEN,67,2.3,0.141,0.9,2.1,0.8,1.9,44.4,46.8,0.084,0.123,0.071,0.026,0.422
TJ Warren,PHX,65,2.7,0.14,0.88,2.4,1,2.2,42.8,42.8,0.125,0.068,0.114,0.017,0.443
Cedi Osman,CLE,61,0.5,0.14,0.91,0.5,0.2,0.4,52.2,56.5,0.121,0.242,0.121,0.061,0.424
