PLAYER,TEAM,GP,W,L,MIN,DIST FEET,DIST MILES,DIST MILES OFF,DIST MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF
Skal Labissiere,SAC,60,19,41,20.7,7967.5,1.51,0.8,0.71,4.42,4.65,4.19
Solomon Hill,NOP,12,8,4,15.6,5877.7,1.11,0.6,0.52,4.31,4.79,3.86
Spencer Dinwiddie,BKN,78,27,51,28.9,10501,1.99,1.12,0.87,4.13,4.52,3.72
Stanley Johnson,DET,69,33,36,27.4,10304.8,1.95,1.01,0.94,4.29,4.43,4.14
Stephen Curry,GSW,51,41,10,32,12758.4,2.42,1.28,1.13,4.55,5.24,3.96
Sterling Brown,MIL,54,26,28,14.4,5505.6,1.04,0.52,0.53,4.42,4.46,4.38
Steven Adams,OKC,75,43,32,32.8,11770.2,2.23,1.1,1.13,4.1,4.22,3.98
T.J. McConnell,PHI,75,50,25,22.4,9411.1,1.78,0.97,0.81,4.79,5.25,4.34
TJ Leaf,IND,53,31,22,8.7,3404.7,0.64,0.36,0.29,4.51,4.78,4.19
TJ Warren,PHX,65,18,47,33,12893.7,2.44,1.28,1.16,4.46,4.72,4.21
Taj Gibson,MIN,82,47,35,33.3,12286.6,2.33,1.25,1.08,4.21,4.36,4.05
Tarik Black,HOU,51,40,11,10.5,3999.2,0.76,0.4,0.35,4.33,4.57,4.09
Taurean Prince,ATL,81,24,57,30,10897.3,2.06,1.09,0.97,4.14,4.33,3.95
Terrance Ferguson,OKC,59,37,22,12.6,4769.7,0.9,0.44,0.46,4.33,4.28,4.37
Terrence Ross,ORL,24,10,14,25,9966.4,1.89,0.97,0.92,4.55,4.89,4.25
Terry Rozier,BOS,77,51,26,26,10335.8,1.96,1.08,0.88,4.54,4.88,4.18
Thabo Sefolosha,UTA,38,16,22,21.2,8133.7,1.54,0.85,0.7,4.38,4.74,4.01
Thaddeus Young,IND,81,48,33,32.2,12305.5,2.33,1.2,1.13,4.36,4.56,4.16
Thomas Bryant,LAL,15,7,8,4.8,1890.1,0.36,0.19,0.16,4.5,5,3.86
Thon Maker,MIL,73,40,33,16.8,6711.6,1.27,0.63,0.65,4.57,4.65,4.49
Tim Frazier,WAS,59,31,28,14.2,5454.8,1.03,0.54,0.49,4.43,4.66,4.18
Tim Hardaway Jr.,NYK,57,19,38,33.1,12344,2.34,1.24,1.09,4.28,4.53,4.03
Tim Quarterman,HOU,3,2,1,4.3,1713.3,0.32,0.19,0.13,4.71,4.72,4.7
Timofey Mozgov,BKN,29,11,18,11.9,4771.5,0.9,0.51,0.4,4.58,5,4.13
Timothe Luwawu-Cabarrot,PHI,51,29,22,15.6,6603.9,1.25,0.69,0.57,4.83,5.37,4.31
Tobias Harris,LAC,80,39,41,33.4,13054.2,2.47,1.37,1.1,4.46,4.91,4
Tomas Satoransky,WAS,73,39,34,22.5,9009.3,1.71,0.91,0.8,4.63,4.86,4.38
Tony Allen,NOP,22,12,10,12.4,4713.9,0.89,0.47,0.43,4.35,4.69,4.06
Tony Bradley,UTA,9,6,3,3.2,1206.1,0.23,0.12,0.11,4.35,4.35,4.35
Tony Parker,SAS,55,32,23,19.5,8003.2,1.52,0.87,0.65,4.68,5.13,4.19
Tony Snell,MIL,74,42,32,27.4,9712.2,1.84,0.9,0.94,4.06,4.18,3.94
Torrey Craig,DEN,39,22,17,16.1,6532.1,1.24,0.64,0.6,4.62,4.78,4.48
Travis Wear,LAL,17,7,10,13.4,4987.9,0.94,0.5,0.44,4.43,5.07,3.84
Treveon Graham,CHA,63,28,35,16.7,6699.6,1.27,0.68,0.59,4.59,4.79,4.38
Trevor Ariza,HOU,67,51,16,33.9,11842.4,2.24,1.14,1.11,3.98,4.02,3.94
