PLAYER,TEAM,GP,W,L,MIN,PASSES MADE,PASSES RECEIVED,AST,SECONDARY AST,POTENTIAL AST,AST ADJ,AST TO PASS%,AST TO PASS% ADJ
Dion Waiters,MIA,29,15,14,30.8,36.2,48.8,3.9,0.5,7.6,4.5,10.7,12.4
Dirk Nowitzki,DAL,77,24,53,24.7,31,27.8,1.6,0.2,2.4,1.9,5,6
Domantas Sabonis,IND,74,45,29,24.5,42.2,31.8,2,0.2,3.9,2.3,4.8,5.5
Donovan Mitchell,UTA,79,46,33,33.4,37.2,53.2,3.7,0.5,6.8,4.4,9.9,11.7
Dorian Finney-Smith,DAL,21,4,17,21.3,19.6,17,1.2,0,2.5,1.3,6.3,6.8
Doug McDermott,DAL,80,29,51,21.7,18.5,18.7,1,0.2,1.8,1.2,5.3,6.4
Dragan Bender,PHX,82,21,61,25.2,36.8,23.1,1.6,0.1,3.1,1.8,4.3,4.8
Draymond Green,GSW,70,48,22,32.7,63.8,50.9,7.3,0.8,12.2,8.3,11.4,13
Dwayne Bacon,CHA,53,25,28,13.5,9.3,9.5,0.7,0.2,1.5,1,7.7,10.3
Dwight Buycks,DET,29,10,19,14.7,24.3,32,2,0.4,4.1,2.5,8.4,10.4
Dwight Howard,CHA,81,35,46,30.4,30.7,24.7,1.3,0.1,2.6,1.5,4.2,4.9
Dwight Powell,DAL,79,23,56,21.2,25.6,18.4,1.2,0.2,2.4,1.4,4.5,5.3
Dwyane Wade,MIA,67,37,30,22.9,32.6,36.7,3.4,0.3,6.9,3.9,10.5,12.1
E'Twaun Moore,NOP,82,48,34,31.5,26.2,29.7,2.3,0.3,4.2,2.7,8.7,10.4
Ed Davis,POR,78,48,30,18.9,25,11.1,0.5,0,1.4,0.6,2,2.3
Edmond Sumner,IND,1,0,1,2.2,2,3,0,0,0,0,0,0
Ekpe Udoh,UTA,63,36,27,12.9,15,10.4,0.8,0,1.6,0.9,5.6,5.8
Elfrid Payton,PHX,63,13,50,28.7,48.6,56.6,6.2,0.6,12.9,7.1,12.8,14.7
Emeka Okafor,NOP,26,16,10,13.6,10.1,6.8,0.3,0,0.6,0.4,3,3.8
Emmanuel Mudiay,NYK,64,29,35,19.4,33,40.4,3.2,0.3,5.9,3.6,9.7,11
Enes Kanter,NYK,70,26,44,25.8,37.8,26.7,1.5,0.2,2.8,1.7,3.9,4.5
Eric Bledsoe,MIL,74,40,34,31.4,51.2,59.2,5,0.7,9.4,6,9.8,11.8
Eric Gordon,HOU,69,55,14,31.2,21.5,33.1,2.2,0.2,4.1,2.6,10.4,11.9
Eric Moreland,DET,67,32,35,12,13.1,11.2,1.2,0.1,2.2,1.3,8.9,9.9
Erik McCree,UTA,4,4,0,1.9,1.8,1.8,0,0,0.5,0,0,0
Ersan Ilyasova,PHI,69,36,33,25.1,34.2,26.6,1.3,0.2,2.4,1.5,3.8,4.5
Evan Fournier,ORL,57,20,37,32.2,23.3,33,2.9,0.3,5,3.3,12.4,14
Evan Turner,POR,79,48,31,25.7,28.2,27.6,2.2,0.2,4.7,2.4,7.8,8.6
Frank Kaminsky,CHA,79,35,44,23.2,35.8,27,1.6,0.3,3.1,2.1,4.6,5.7
Frank Mason,SAC,52,17,35,18.9,32.5,39.4,2.8,0.5,5.9,3.3,8.7,10.1
Frank Ntilikina,NYK,77,27,50,22,38.1,42.8,3.2,0.6,6.4,3.9,8.5,10.4
Fred VanVleet,TOR,76,55,21,20,29.5,33.6,3.2,0.6,6.4,3.9,10.8,13.1
Furkan Korkmaz,PHI,14,11,3,5.7,4,4.8,0.3,0.2,0.4,0.5,7.1,12.5
Garrett Temple,SAC,65,23,42,24.8,27.9,29.7,1.9,0.3,3.5,2.3,6.8,8.1
Gary Harris,DEN,67,37,30,34.4,24.6,35.6,2.9,0.5,4.8,3.4,11.8,13.8
Gary Payton II,LAL,23,10,13,9.6,11,9.7,0.9,0,1.7,1,8.3,8.7
George Hill,CLE,67,28,39,27,42.6,46.4,2.8,0.4,5.8,3.3,6.5,7.6
Georges Niang,UTA,9,9,0,3.5,3.1,3.6,0.3,0,0.2,0.2,10.7,7.1
Georgios Papagiannis,POR,17,3,14,7.2,10.9,6.7,0.5,0.1,0.8,0.6,4.9,5.4
Gerald Green,HOU,41,33,8,22.7,16.8,19.4,0.6,0.1,1.5,0.7,3.6,4.4
Gian Clavell,DAL,7,0,7,9.1,6.4,7.6,0.4,0,0.9,0.6,6.7,8.9
Giannis Antetokounmpo,MIL,74,39,35,36.7,57.4,56.1,4.8,0.8,9.3,5.7,8.3,9.9
Glenn Robinson III,IND,23,14,9,14.7,11.8,10.7,0.7,0.2,1,1,6.3,8.1
Goran Dragic,MIA,74,38,36,31.7,57.7,66.7,4.8,0.9,10.1,5.9,8.3,10.2
Gordon Hayward,BOS,1,0,1,5.3,7,5,0,0,0,0,0,0
Gorgui Dieng,MIN,79,45,34,16.9,21.6,15.7,0.9,0.2,1.9,1.1,4.2,5
Greg Monroe,BOS,50,21,29,20.5,26.7,24.4,2.3,0.1,4.1,2.4,8.5,9.1
Guerschon Yabusele,BOS,32,23,9,7.3,11.1,9.2,0.5,0.1,0.9,0.6,4.5,5.1
Harrison Barnes,DAL,77,24,53,34.2,39.1,37,2,0.3,3.7,2.4,5,6
Hassan Whiteside,MIA,54,30,24,25.3,18.8,20.1,1,0,2,1,5.3,5.5
Henry Ellenson,DET,38,21,17,8.7,14.6,9.3,0.5,0,1,0.6,3.6,4
Ian Clark,NOP,74,43,31,19.7,17.8,21.1,1.5,0.2,2.6,1.7,8.4,9.7
Ian Mahinmi,WAS,77,42,35,14.9,15.8,10.1,0.7,0.2,1.2,0.9,4.4,5.7
Ike Anigbogu,IND,11,5,6,2.7,4,2.5,0,0,0,0,0,0
Iman Shumpert,SAC,14,9,5,19.7,22.6,20.4,1.2,0.4,1.9,1.7,5.4,7.6
Isaiah Canaan,PHX,20,9,11,21.1,41.4,46.8,3.8,0.4,8.2,4.5,9.2,10.9
Isaiah Hicks,NYK,18,4,14,13.3,13.4,11.5,0.9,0.1,1.7,1,6.6,7.5
Isaiah Taylor,ATL,67,18,49,17.4,30.4,36.2,3.1,0.2,6.1,3.4,10.1,11.1
Isaiah Thomas,LAL,32,15,17,26.9,37,51.7,4.8,0.7,9,5.6,12.9,15.1
Isaiah Whitehead,BKN,15,2,13,10.9,12.4,17.5,1.3,0.1,2.7,1.3,10.2,10.8
Ish Smith,DET,82,39,43,24.9,48.7,55.3,4.4,0.6,9.2,5.1,9,10.5
Ivan Rabb,MEM,36,6,30,14.3,18.5,13.7,0.9,0.1,1.6,1.1,4.8,5.9
Ivica Zubac,LAL,43,19,24,9.5,13,8.8,0.6,0,0.8,0.6,4.5,4.8
J.J. Barea,DAL,69,23,46,23.2,48.5,54.7,6.3,0.8,11.1,7.3,13,15.1
JJ Redick,PHI,69,45,24,30.2,28.7,38.5,3,0.5,5.1,3.6,10.4,12.4
JR Smith,CLE,80,49,31,28.1,22.3,22.2,1.8,0.3,3.4,2.1,7.9,9.4
JaKarr Sampson,SAC,22,6,16,15.6,15.1,9.7,0.4,0,1.3,0.4,2.7,2.7
JaMychal Green,MEM,55,11,44,28,33.9,23.7,1.4,0.2,2.7,1.7,4.2,4.9
JaVale McGee,GSW,65,45,20,9.5,9.4,7.5,0.5,0,0.8,0.6,5.4,6.2
Jabari Bird,BOS,13,8,5,8.8,5.2,5.8,0.6,0.2,0.8,0.9,11.8,17.6
Jabari Parker,MIL,31,16,15,24,31.5,27.6,1.9,0.2,3.9,2,6.1,6.4
Jack Cooley,SAC,7,4,3,12.5,12.9,11.6,0.9,0,1.1,0.9,6.7,6.7
Jacob Pullen,PHI,3,2,1,2,2,3,0,0,0.7,0,0,0
Jacob Wiley,BKN,4,1,3,8.1,10,4.5,0.5,0,0.5,0.5,5,5
Jae Crowder,UTA,80,52,28,26.1,27.9,23.3,1.2,0.1,1.9,1.4,4.4,5
Jahlil Okafor,BKN,28,7,21,12.6,13.6,13.7,0.4,0,1,0.5,3.1,3.4
Jake Layman,POR,35,22,13,4.6,3.6,3.9,0.3,0,0.4,0.3,8.7,9.4
Jakob Poeltl,TOR,82,59,23,18.6,20.5,13.5,0.7,0.1,1.4,0.8,3.4,4.1
Jalen Jones,DAL,16,3,13,11.3,9.5,8.3,0.3,0.1,0.9,0.4,2.6,4.6
Jamal Crawford,MIN,80,45,35,20.7,17.7,26.4,2.3,0.3,4,2.8,13.1,15.9
Jamal Murray,DEN,81,46,35,31.7,52.9,61.6,3.4,0.8,6.9,4.2,6.4,8
Jameel Warney,DAL,3,1,2,9,7,7.3,0,0,0.3,0,0,0
Jameer Nelson,DET,50,25,25,20.3,41.3,41.8,3.6,0.6,6.7,4.2,8.7,10.1
Jamel Artis,ORL,15,4,11,18.6,17.7,17.2,1.2,0.3,3.1,1.5,6.8,8.3
James Ennis III,DET,72,25,47,22.3,14.3,14,1,0.2,2,1.3,6.9,8.8
James Harden,HOU,72,59,13,35.4,51.2,73.2,8.8,0.8,16.3,10.1,17.1,19.7
James Johnson,MIA,72,36,36,26.6,40.6,34.4,3.8,0.2,7.6,4.2,9.5,10.3
James Michael McAdoo,PHI,3,1,2,6,6.7,6,0,0,0,0,0,0
James Webb III,BKN,10,1,9,12,18.8,10.5,0.4,0.1,0.6,0.5,2.1,2.7
James Young,PHI,6,4,2,10.2,5.8,7.3,0.3,0,0.7,0.5,5.7,8.6
Jamil Wilson,LAC,15,6,9,18.3,20.7,16,0.7,0,1.6,0.7,3.2,3.2
Jared Dudley,PHX,48,7,41,14.3,24.7,16.4,1.6,0.1,3,1.8,6.6,7.2
Jarell Eddie,CHI,3,1,2,2.9,2,2,0,0,1,0,0,0
Jarell Martin,MEM,73,21,52,22.7,26.6,18.6,1,0.1,2,1.2,3.8,4.5
Jarrett Allen,BKN,70,24,46,20,24.3,18.8,0.7,0.1,1.4,0.8,2.9,3.3
Jarrett Jack,NYK,61,25,36,24.8,51,57.8,5.6,0.6,10.2,6.3,11,12.4
Jason Smith,WAS,33,15,18,8.6,11.4,8.3,0.4,0.1,1,0.5,3.7,4.2
Jason Terry,MIL,51,27,24,16,14.9,13.3,1.2,0.1,2,1.3,7.8,8.6
Jawun Evans,LAC,48,24,24,16.2,24.6,27.5,2.1,0.3,3.9,2.5,8.5,10.2
Jaylen Brown,BOS,67,44,23,30.6,23.2,25.7,1.7,0.2,3.1,1.9,7.2,8.3
Jaylen Morris,ATL,6,2,4,16.4,11,10.8,1.2,0,2.2,1,10.6,9.1
Jayson Tatum,BOS,77,50,27,30.7,27.8,28,1.6,0.2,3.1,1.9,5.8,6.7
Jeff Green,CLE,78,47,31,23.4,22.1,22.4,1.3,0.2,2.3,1.4,5.8,6.5
Jeff Teague,MIN,70,41,29,33,57.4,66.5,7,0.5,12.1,8,12.2,14
Jeff Withey,DAL,10,2,8,3.9,3.7,3.7,0,0,0.3,0,0,0
Jerami Grant,OKC,80,48,32,20.3,22.5,16.1,0.7,0.1,1.8,0.9,3.1,3.8
Jeremy Evans,ATL,1,0,1,5.4,6,5,0,0,1,0,0,0
Jeremy Lamb,CHA,80,36,44,24.6,22.3,27,2.3,0.4,4.5,2.9,10.4,13.2
Jeremy Lin,BKN,1,0,1,25.2,32,49,4,0,7,4,12.5,12.5
Jerian Grant,CHI,74,24,50,22.8,40.5,44.4,4.6,0.4,8.9,5.1,11.4,12.6
Jerryd Bayless,PHI,38,21,17,23.9,20.9,25.9,1.4,0.4,3.1,1.9,6.8,8.9
Jimmy Butler,MIN,59,37,22,36.7,40.6,48,4.9,0.4,9.2,5.4,12,13.4
Joakim Noah,NYK,7,1,6,5.7,11,6.9,0.6,0,2,0.6,5.2,5.2
Jodie Meeks,WAS,77,41,36,14.5,12.8,16.1,0.9,0.1,1.8,1.1,7.1,8.3
Joe Harris,BKN,77,26,51,25.3,26.6,26.1,1.6,0.3,3.6,2.1,6.2,7.7
Joe Ingles,UTA,82,48,34,31.4,38.7,42.1,4.8,0.5,8.6,5.7,12.3,14.7
Joe Johnson,HOU,55,35,20,21.9,25.7,21.3,1.5,0.2,3.6,1.7,5.9,6.7
Joe Young,IND,53,28,25,10.5,11.9,14.7,0.7,0.1,1.6,0.9,6.2,7.3
Joel Bolomboy,MIL,6,3,3,6.3,5.8,3.8,0,0.2,0.7,0.2,0,2.9
Joel Embiid,PHI,62,41,21,30.3,50.6,51.5,3.1,0.3,5.7,3.6,6.2,7.1
Joffrey Lauvergne,SAS,55,30,25,9.7,10.5,8.9,0.7,0.1,1.4,0.9,7.1,8.2
John Collins,ATL,73,21,52,24.1,36.3,25.7,1.3,0.2,2.5,1.5,3.7,4.2
John Henson,MIL,75,39,36,26,21.4,18.7,1.5,0.1,2.3,1.7,7.1,7.9
John Holland,CLE,24,17,7,7.3,5,5.7,0.2,0.1,0.5,0.3,4.2,5.8
John Wall,WAS,41,23,18,34.4,54.2,69.5,9.6,0.7,17.6,10.5,17.7,19.4
Johnathan Motley,DAL,11,1,10,16,17.2,15.8,0.6,0.1,1.2,0.7,3.7,4.2
Johnny O'Bryant III,CHA,36,15,21,10.5,11.6,9.8,0.4,0.1,1.3,0.5,3.4,4.1
Jon Leuer,DET,8,5,3,17.1,22,15.6,0.6,0.3,1.4,0.9,2.8,4
Jonas Jerebko,UTA,74,45,29,15.3,22.4,16.7,0.6,0.1,1.2,0.7,2.5,3.1
Jonas Valanciunas,TOR,77,56,21,22.4,35.3,24,1.1,0.2,2.1,1.3,3,3.6
Jonathan Gibson,BOS,4,2,2,10,6.8,12.5,1,0,1.8,1,14.8,14.8
Jonathan Isaac,ORL,27,11,16,19.8,20.9,13.3,0.7,0.1,1.4,0.8,3.2,3.9
Jonathon Simmons,ORL,69,21,48,29.4,26.2,34.5,2.5,0.2,5.4,2.9,9.5,10.9
Jordan Bell,GSW,57,43,14,14.2,22.5,15.6,1.8,0.2,3,2,8,8.9
Jordan Clarkson,CLE,81,40,41,23.3,25.6,35.3,2.7,0.3,5.2,3.1,10.7,12.3
Jordan Crawford,NOP,5,3,2,10.7,19.4,22.2,2.6,0.2,4,2.8,13.4,14.4
Jordan Mickey,MIA,23,15,8,12.4,18.3,9.7,0.4,0,1,0.4,2.1,2.1
Jose Calderon,CLE,57,33,24,16,26.2,25.6,2.1,0.5,3.8,2.6,7.8,10.1
Josh Gray,PHX,5,0,5,17.3,32.2,38,2.4,0.4,5.6,2.8,7.5,8.7
Josh Hart,LAL,63,27,36,23.2,16.4,16,1.3,0.2,2.3,1.5,7.8,9.4
Josh Huestis,OKC,68,43,25,14.2,9.5,6.4,0.3,0.1,0.5,0.4,2.9,3.7
Josh Jackson,PHX,77,19,58,25.4,20.8,24.7,1.5,0.1,3.1,1.8,7.4,8.5
Josh Magette,ATL,18,3,15,12,24,25.7,3.2,0.2,6.1,3.3,13.2,13.9
Josh McRoberts,DAL,2,2,0,2.9,2.5,2,0,0,0,0,0,0
Josh Richardson,MIA,80,43,37,33.2,41.7,42.8,2.9,0.4,5.9,3.4,6.9,8.1
Josh Smith,NOP,3,2,1,3.9,7,4,0,0,2,0.7,0,9.5
Jrue Holiday,NOP,81,47,34,36.1,54.8,61.6,6,0.7,11.1,7,10.9,12.8
Juancho Hernangomez,DEN,25,15,10,11.1,10.4,7.8,0.5,0.1,0.9,0.6,4.6,5.4
Julius Randle,LAL,82,35,47,26.7,34.1,32.2,2.6,0.4,4.9,3,7.5,8.8
Julyan Stone,CHA,23,10,13,7.6,9.3,8.1,1.1,0.1,2.3,1.3,12.2,14.6
Justin Anderson,PHI,37,27,10,13.9,13.4,13.9,0.7,0.2,1.4,0.8,5,6.3
Justin Holiday,CHI,72,24,48,31.5,20.6,28,2.1,0.3,3.9,2.5,10.3,12.3
Justin Jackson,SAC,68,21,47,22.2,19.8,17.9,1.1,0.2,2,1.3,5.5,6.5
Justin Patton,MIN,1,0,1,3.7,2,2,0,0,0,0,0,0
Justise Winslow,MIA,67,32,35,24.7,36.7,26.9,2.2,0.2,4.7,2.4,6,6.5
Jusuf Nurkic,POR,79,48,31,26.4,40.3,29.7,1.8,0.1,3.6,2.1,4.5,5.1
Kadeem Allen,BOS,18,9,9,6,8.8,8.9,0.7,0.1,1.2,0.7,7.6,8.2
Karl-Anthony Towns,MIN,82,47,35,35.6,50,40.7,2.4,0.3,4.3,2.8,4.9,5.7
Kawhi Leonard,SAS,9,5,4,23.3,23.9,32.3,2.3,0.2,5.1,2.6,9.8,10.7
