PLAYER,TEAM,GP,W,L,MIN,PASSES MADE,PASSES RECEIVED,AST,SECONDARY AST,POTENTIAL AST,AST ADJ,AST TO PASS%,AST TO PASS% ADJ
Wesley Matthews,DAL,63,20,43,33.8,32.3,36.5,2.7,0.4,5.3,3.2,8.4,9.9
Will Barton,DEN,81,46,35,33.1,41.2,45.4,4.1,0.4,7.7,4.6,9.9,11.2
Willie Cauley-Stein,SAC,73,23,50,28,39.8,32.2,2.4,0.2,4,2.6,5.9,6.6
Willie Reed,DET,42,20,22,10.2,8.5,6.8,0.2,0,0.6,0.3,2.8,3.1
Willy Hernangomez,CHA,48,20,28,10.3,13.4,9,0.7,0.1,1.2,0.8,5.1,5.6
Wilson Chandler,DEN,74,41,33,31.7,27,23.9,2.1,0.3,4.1,2.5,8,9.2
Xavier Munford,MIL,6,2,4,3.5,5.7,6.2,0.7,0,0.7,0.7,11.8,11.8
Xavier Rathan-Mayes,MEM,5,0,5,23.6,41.6,52.4,3.6,0.2,7,4,8.7,9.6
Xavier Silas,BOS,2,1,1,3.8,3,2.5,0,0,1.5,0,0,0
Yogi Ferrell,DAL,82,24,58,27.8,34.1,36,2.5,0.5,5,3,7.2,8.9
Zach Collins,POR,66,41,25,15.8,13.1,12,0.8,0.1,1.4,0.8,6,6.2
Zach LaVine,CHI,24,9,15,27.3,26.4,37.9,3,0.3,6.3,3.5,11.4,13.2
Zach Randolph,SAC,59,18,41,25.6,34.8,34.8,2.2,0.2,4.5,2.4,6.2,7
Zaza Pachulia,GSW,69,47,22,14.1,20.6,15.4,1.6,0.4,2.7,2.1,7.7,10.1
Zhou Qi,HOU,18,14,4,6.9,5.6,4.2,0.1,0,0.6,0.2,2,3
