PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TO FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Ekpe Udoh,UTA,63,0.3,11.60%,1.26,0.4,0.1,0.2,63.6,63.6,47.40%,5.30%,42.10%,10.50%,68.40%,81.3
Kyle Korver,CLE,73,1,13.10%,0.96,1,0.3,0.8,37.1,54,1.40%,13.70%,1.40%,0.00%,32.90%,23.2
Michael Beasley,NYK,74,1.4,9.90%,1.11,1.5,0.6,1.1,60.8,61.4,12.00%,13.00%,10.00%,4.00%,55.00%,53.6
Lance Thomas,NYK,73,0.6,12.30%,1.17,0.7,0.2,0.5,48.6,62.2,2.40%,7.30%,2.40%,0.00%,46.30%,63.7
Paul Zipser,CHI,54,0.6,10.40%,0.77,0.4,0.1,0.4,33.3,39.6,6.70%,13.30%,3.30%,0.00%,33.30%,6.8
Bogdan Bogdanovic,SAC,78,1.4,11.30%,1.25,1.7,0.7,1.2,55.3,67.6,5.70%,9.40%,5.70%,3.80%,50.90%,79.3
Wayne Ellington,MIA,77,1.2,12.30%,1.21,1.5,0.6,1.1,50.6,64.7,3.20%,8.40%,2.10%,1.10%,47.40%,72
Tim Frazier,WAS,59,0.7,17.30%,0.79,0.6,0.3,0.5,55.6,57.4,4.80%,31.00%,2.40%,0.00%,38.10%,7.7
Brandan Wright,HOU,1,1,33.30%,2,2,1,1,100,100,0.00%,0.00%,0.00%,0.00%,100.00%,
Jordan Mickey,MIA,23,0.3,7.40%,0.75,0.3,0.1,0.3,28.6,28.6,12.50%,0.00%,12.50%,0.00%,37.50%,
Dirk Nowitzki,DAL,77,0.8,7.40%,1,0.8,0.3,0.8,39.7,54.3,0.00%,7.90%,0.00%,0.00%,36.50%,30.3
Pau Gasol,SAS,77,0.6,5.40%,1.29,0.8,0.2,0.5,54.3,58.6,26.70%,2.20%,22.20%,6.70%,62.20%,85.6
Patty Mills,SAS,82,1,10.00%,1.07,1.1,0.4,0.9,44.4,57.6,4.80%,8.40%,1.20%,0.00%,42.20%,47.7
Kentavious Caldwell-Pope,LAL,74,3.3,25.50%,1.16,3.9,1.4,2.7,51.3,62.2,11.30%,12.10%,10.10%,3.20%,48.60%,60.3
Steven Adams,OKC,76,1.1,8.90%,1.37,1.6,0.7,0.8,78.1,78.1,20.90%,10.50%,20.90%,5.80%,70.90%,92.3
Darius Miller,NOP,82,1.1,15.70%,1.21,1.3,0.4,1,43.6,62.8,5.60%,7.90%,5.60%,1.10%,42.70%,72.3
Jordan Crawford,NOP,5,0.4,6.50%,1,0.4,0.2,0.4,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,
Ian Clark,NOP,74,1.5,19.90%,0.95,1.5,0.6,1.3,43.4,50,7.00%,7.00%,7.00%,0.90%,43.90%,21.6
Shabazz Muhammad,MIL,11,1.7,25.30%,1.47,2.5,1.1,1.5,70.6,70.6,21.10%,5.30%,21.10%,15.80%,68.40%,97.3
Joe Harris,BKN,78,1.6,16.10%,1.21,1.9,0.7,1.4,48.6,61,8.30%,5.80%,6.60%,4.10%,47.90%,72.7
James Ennis III,DET,27,1.8,24.70%,1.16,2.1,0.8,1.4,55.3,57.9,20.40%,8.20%,20.40%,6.10%,57.10%,61.5
Andre Iguodala,GSW,64,1.7,26.10%,1.07,1.9,0.8,1.1,68.5,70.5,17.10%,20.70%,16.20%,3.60%,55.00%,47.5
Kenneth Faried,DEN,32,1,16.30%,1.25,1.3,0.5,0.7,69.6,69.6,18.80%,12.50%,15.60%,3.10%,65.60%,77.7
Justin Anderson,PHI,38,1.3,21.20%,1.36,1.8,0.7,1.2,55.6,64.4,14.00%,2.00%,14.00%,6.00%,58.00%,91.4
David Nwaba,CHI,70,2.5,29.70%,1.03,2.6,1,1.7,58.5,58.5,21.10%,13.70%,19.40%,2.30%,56.00%,36.9
Serge Ibaka,TOR,76,1.7,14.30%,1.08,1.9,0.7,1.4,46.4,54.5,10.60%,6.80%,9.80%,0.80%,47.70%,48.2
