PLAYER,TEAM,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Mason Plumlee,DEN,74,40,34,19.5,0.9,0.2,0.4,43.8,0.1,0.2,43.8,0.5,53.6,0.2,26.1,0.1,7.2,0.1,8.7,0.1,11.6
Matt Costello,SAS,4,2,2,8.1,0.3,0,0,0,0,0,0,0,0,0.3,100,0,0,0,0,0,0
Matt Williams Jr.,MIA,3,1,2,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Dellavedova,MIL,37,21,16,18.7,5.1,0.5,1.4,37.7,0.2,0.2,100,1.3,25.1,2.4,48.1,0.8,15.5,0.2,4.8,0.1,2.1
Maurice Harkless,POR,59,36,23,21.4,1.4,0.2,0.6,35.3,0.1,0.1,87.5,0.5,36.5,0.5,34.1,0.1,5.9,0.1,9.4,0.1,4.7
Maxi Kleber,DAL,72,20,52,16.8,0.3,0.1,0.2,43.8,0,0,50,0.2,66.7,0,12.5,0,8.3,0,4.2,0,4.2
Meyers Leonard,POR,33,17,16,7.7,0.4,0,0.1,0,0.1,0.1,100,0.1,16.7,0.2,41.7,0,8.3,0,8.3,0,8.3
Michael Beasley,NYK,73,23,50,22.1,4.8,1.4,3,48.2,0.4,0.5,80,3.5,72.4,0.6,13.2,0.3,5.7,0.4,7.5,0.3,5.7
Michael Carter-Williams,CHA,52,23,29,16.1,4.6,0.6,1.7,35.6,0.7,0.8,81,1.9,40.8,1.8,39.1,0.3,7.1,0.3,6.7,0.4,8.8
Michael Kidd-Gilchrist,CHA,74,34,40,25,3,0.9,2,46.2,0.2,0.3,64,2,68,0.5,16.7,0.1,5,0.2,5.4,0.2,6.3
Mike Conley,MEM,12,7,5,31.1,12.8,2.8,5.6,50.7,2.4,3,80.6,8.3,64.3,3.3,26,1.2,9.1,0.8,5.8,1.5,11.7
Mike James,NOP,36,11,25,19.1,8.4,1.6,3.6,46.1,1,1.2,81.8,4.4,51.6,2.8,32.6,0.9,11.2,0.4,4.6,0.6,7.2
Mike Muscala,ATL,53,14,39,20,0.9,0.1,0.4,36.8,0.1,0.1,100,0.4,39.6,0.2,22.9,0.2,16.7,0.1,10.4,0,4.2
Mike Scott,WAS,76,39,37,18.5,1.1,0.3,0.6,52.1,0.1,0.1,62.5,0.7,68.3,0.2,20.7,0.1,6.1,0.1,7.3,0.1,4.9
Miles Plumlee,ATL,55,19,36,16.7,0.3,0.1,0.1,50,0,0.1,16.7,0.2,56.3,0,12.5,0,0,0,12.5,0.1,18.8
Milos Teodosic,LAC,45,29,16,25.2,5,0.5,0.9,53.7,0.2,0.2,100,1.2,22.9,2.6,52.4,0.8,15.4,0.4,7.9,0.1,1.8
Milton Doyle,BKN,10,2,8,12.5,4.3,0.5,1.9,26.3,0.1,0.4,25,1.2,27.9,1.6,37.2,0.4,9.3,0.1,2.3,0.2,4.7
Mindaugas Kuzminskas,NYK,1,0,1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirza Teletovic,MIL,9,4,5,15.8,0.9,0,0.3,0,0,0,0,0,0,0.2,25,0,0,0.2,25,0,0
Monte Morris,DEN,3,2,1,8.4,2,1,1.3,75,0.7,0.7,100,2.7,133.3,0,0,0.3,16.7,0,0,0.3,16.7
Montrezl Harrell,LAC,76,39,37,17,1.3,0.5,0.9,58.8,0.2,0.3,70,1.3,100,0.1,8.2,0,1,0.1,5.2,0.1,10.3
Myke Henry,MEM,20,3,17,18.9,2.6,0.5,1,50,0,0,0,1.1,42.3,1.2,44.2,0.3,9.6,0.2,5.8,0,0
Myles Turner,IND,65,39,26,28.2,1.1,0.4,0.6,57.5,0.2,0.2,81.3,1,87.3,0.1,12.7,0,4.2,0.1,11.3,0.1,11.3
Nate Wolters,UTA,5,3,2,3.8,1.4,0.2,1,20,0,0,0,0.4,28.6,0.2,14.3,0.2,14.3,0,0,0,0
Naz Mitrou-Long,UTA,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemanja Bjelica,MIN,67,38,29,20.5,2.3,0.6,1.2,44.6,0.1,0.1,90,1.2,53.2,0.5,22.4,0.3,11.5,0.2,7.7,0.1,3.2
Nene,HOU,52,42,10,14.6,1,0.3,0.5,54.2,0.2,0.2,83.3,0.7,72,0.3,26,0.1,6,0.1,6,0.1,12
Nerlens Noel,DAL,30,6,24,15.7,0.3,0,0.1,25,0,0,0,0.1,25,0.1,25,0,12.5,0,0,0,0
Nick Collison,OKC,13,9,4,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Young,GSW,80,56,24,17.4,0.9,0.2,0.5,41.7,0.1,0.1,50,0.5,53.6,0.2,17.4,0.1,8.7,0.1,8.7,0.1,7.2
Nicolas Batum,CHA,64,27,37,31,2.5,0.6,1.1,58,0.2,0.2,83.3,1.4,56.8,0.8,29.6,0.3,13.6,0.2,6.8,0.1,3.7
Nicolas Brussino,ATL,4,0,4,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigel Hayes,SAC,9,6,3,13.6,0.4,0,0.1,0,0,0,0,0,0,0.2,50,0,0,0.1,25,0,0
Nik Stauskas,BKN,41,14,27,12.8,2.6,0.3,0.7,43.3,0.1,0.2,75,0.8,31.5,1.1,42.6,0.3,12,0.2,6.5,0.1,3.7
Nikola Jokic,DEN,75,43,32,32.6,2.7,0.6,1.1,56.1,0.2,0.2,87.5,1.5,57.4,0.8,31.2,0.2,8.4,0.2,6.9,0.1,4
Nikola Mirotic,NOP,55,34,21,27.2,1.3,0.4,0.8,47.6,0.1,0.1,87.5,0.9,68.1,0.2,18.1,0,2.8,0.1,9.7,0.1,5.6
Nikola Vucevic,ORL,57,17,40,29.5,2.5,0.5,1.1,48.3,0.2,0.2,71.4,1.2,48.6,0.7,26.8,0.2,8.5,0.2,9.9,0.1,4.9
Noah Vonleh,CHI,54,24,30,16.2,1.3,0.3,0.7,47.4,0,0.1,50,0.8,58.6,0.3,24.3,0,2.9,0.2,12.9,0,2.9
Norman Powell,TOR,70,51,19,15.2,4.1,0.7,1.5,49.5,0.3,0.3,100,1.7,42.7,1.6,38.5,0.3,8.4,0.4,9.8,0.1,3.5
OG Anunoby,TOR,74,51,23,20,1.9,0.3,0.6,44.7,0.1,0.2,56.3,0.7,37.6,0.8,39.7,0.1,5.7,0.3,13.5,0.1,6.4
Okaro White,CLE,6,2,4,13.3,0.3,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,50,0,0
Omari Johnson,MEM,4,1,3,18.8,0.5,0.5,0.5,100,0,0,0,1,200,0,0,0,0,0,0,0,0
Omer Asik,CHI,18,7,11,10.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omri Casspi,GSW,53,40,13,14,1.3,0.3,0.6,50,0,0,50,0.7,56.7,0.3,26.9,0.1,7.5,0.1,9,0,3
Otto Porter Jr.,WAS,77,42,35,31.6,2.6,0.7,1.4,49.5,0.3,0.3,91.7,1.8,68.7,0.6,21.7,0.2,8.1,0.1,4,0.2,6.1
PJ Dozier,OKC,2,1,1,1.6,0.5,0.5,0.5,100,0,0,0,1,200,0,0,0,0,0,0,0,0
PJ Tucker,HOU,82,65,17,27.8,1.1,0.1,0.3,25,0.1,0.2,78.6,0.3,26.9,0.5,39.8,0.1,10.8,0.1,8.6,0.1,7.5
Pascal Siakam,TOR,81,59,22,20.7,3.1,0.8,1.5,51.3,0.1,0.1,90,1.7,54.2,0.9,30,0.3,9.9,0.3,8.7,0.1,2
Pat Connaughton,POR,82,49,33,18.1,2.1,0.4,0.9,44.7,0.1,0.1,100,1,46.9,0.7,34.9,0.2,9.7,0.1,6.9,0.1,3.4
Patrick Beverley,LAC,11,5,6,30.3,11.3,1.6,4,40.9,0.2,0.2,100,3.5,30.6,5.3,46.8,1.2,10.5,0.6,5.6,0.1,0.8
