PLAYER,TEAM,AGE,GP,MIN,SCREEN ASSISTS,DEFLECTIONS,LOOSE BALLS RECOVERED,CHARGES DRAWN,CONTESTED 2PT SHOTS,CONTESTED 3 PT SHOTS,CONTESTED SHOTS
Patty Mills,SAS,29,82,26,0.2,1.3,0.9,0.04,1.6,1.6,3.1
Pau Gasol,SAS,37,77,24,2.3,0.4,0.6,0.03,8.9,1.2,10
Paul George,OKC,28,79,37,0.3,3.9,1.8,0.06,4.1,3.9,8
Paul Millsap,DEN,33,38,30,0.8,2.2,1.4,0.24,7.2,3.5,10.6
Paul Zipser,CHI,24,54,15,0.2,0.7,0.4,0,3.1,1.9,5.1
Quincy Acy,BKN,27,70,19,1.5,1.4,0.4,0.3,4.5,1.6,6.1
Quincy Pondexter,CHI,30,23,9,0.1,0.5,0.3,0.04,0.9,0.7,1.6
Quinn Cook,GSW,25,33,22,0.3,0.5,0.7,0,1.6,1.6,3.2
RJ Hunter,HOU,24,5,9,0,1.2,0.6,0,0.2,0.8,1
Rajon Rondo,NOP,32,65,26,0.6,2,1.1,0.03,1.4,1.9,3.3
Ramon Sessions,WAS,32,28,14,0.1,0.8,0.5,0,0.5,1.1,1.7
Rashad Vaughn,ORL,21,28,8,0,0.3,0.3,0,0.9,0.5,1.4
Raul Neto,UTA,26,41,12,0.2,0.5,0.5,0.07,2.1,1.5,3.6
Raymond Felton,OKC,34,82,17,0.2,1.1,0.7,0.02,1.7,1.6,3.3
Reggie Bullock,DET,27,62,28,0.2,1.2,0.9,0.03,2.7,2.8,5.5
Reggie Hearn,DET,26,3,2,0,0,0,0,0.3,0,0.3
Reggie Jackson,DET,28,45,27,0.3,1.3,1,0.09,2.3,3,5.3
Richard Jefferson,DEN,38,20,8,0.1,0.3,0.3,0,1,1.2,2.2
Richaun Holmes,PHI,24,48,16,1.6,0.8,0.5,0,4.3,1.5,5.8
Ricky Rubio,UTA,27,77,29,0.2,3,1.4,0.1,2.9,2.2,5.1
Robert Covington,PHI,27,80,32,0.4,3.9,1.3,0.01,4.3,3.6,7.9
Robin Lopez,CHI,30,64,26,4.1,0.3,0.6,0.02,9.3,1.8,11.1
