PLAYER,TEAM,AGE,GP,MIN,SCREEN ASSISTS,DEFLECTIONS,LOOSE BALLS RECOVERED,CHARGES DRAWN,CONTESTED 2PT SHOTS,CONTESTED 3 PT SHOTS,CONTESTED SHOTS
Danilo Gallinari,LAC,29,21,32,1.1,1.8,0.9,0.1,5.2,3.5,8.7
Danny Green,SAS,31,70,26,0.2,2,0.7,0.04,5.5,2.9,8.4
Dante Cunningham,BKN,31,73,21,1,1,0.6,0.01,4.6,1.6,6.3
Dante Exum,UTA,22,14,17,0.1,1,0.7,0.14,2,2.1,4.1
Danuel House,PHX,25,23,18,0.1,0.5,0.4,0,3.3,2.5,5.8
Dario Saric,PHI,24,78,30,1,1.3,0.8,0.01,6,3.6,9.6
Darius Miller,NOP,28,82,24,0.2,0.8,0.7,0,3,2.4,5.5
Darrell Arthur,DEN,30,19,7,0.4,0.8,0.2,0,1.7,0.5,2.2
Darren Collison,IND,30,69,29,0.2,2.3,1.2,0,1.8,2.8,4.6
Darrun Hilliard,SAS,25,14,7,0,0.3,0.1,0,1,0.9,1.9
David Nwaba,CHI,25,70,24,0.1,1.5,1,0,3.2,2.7,5.8
David Stockton,UTA,27,3,3,0,0,0,0,0,1,1
David West,GSW,37,73,14,1.4,1.3,0.4,0.01,4.8,1.6,6.4
Davis Bertans,SAS,25,77,14,0.5,0.7,0.3,0.01,3.8,1.6,5.4
Davon Reed,PHX,23,21,12,0,0.8,0.5,0.05,1.3,0.6,1.9
De'Aaron Fox,SAC,20,73,28,0.1,1.5,1.1,0.04,2.7,3.6,6.4
DeAndre Jordan,LAC,29,77,31,4,1.1,0.8,0.03,6.2,1.6,7.8
DeAndre Liggins,NOP,30,58,12,0,1.1,0.6,0.14,1.3,1,2.3
DeAndre' Bembry,ATL,23,26,18,0.1,1.5,0.6,0.04,2.2,1.5,3.6
DeMar DeRozan,TOR,28,80,34,0.1,1.8,1.1,0.03,2.2,1.6,3.8
DeMarcus Cousins,NOP,27,48,36,2.3,2.7,1.6,0.5,10.7,2.7,13.3
DeMarre Carroll,BKN,31,73,30,0.6,1.7,1.3,0.05,4.9,2.4,7.3
Dejounte Murray,SAS,21,81,22,0.1,2.1,1.2,0,3.7,2.5,6.2
Delon Wright,TOR,26,69,21,0.2,2,0.9,0.09,2.8,1.6,4.4
Demetrius Jackson,PHI,23,15,5,0,0.3,0.1,0,0.5,0.7,1.2
Dennis Schroder,ATL,24,67,31,0.4,1.7,1.3,0.24,2.7,3.4,6.1
Dennis Smith Jr.,DAL,20,69,30,0.5,2.1,1.4,0.06,3.3,3.7,7
Denzel Valentine,CHI,24,77,27,0.1,1.7,1.1,0.01,3,3.5,6.5
Derrick Favors,UTA,26,77,28,2.7,1.3,0.8,0,8.2,2.6,10.7
Derrick Jones Jr.,MIA,21,20,12,0.1,0.4,0.4,0.05,2.6,1.1,3.7
Derrick Rose,MIN,29,25,17,0.2,0.5,0.6,0,2,1.3,3.4
Derrick Walton Jr.,MIA,23,16,9,0,0.5,0.5,0,1,0.6,1.6
Derrick White,SAS,23,17,8,0.1,0.5,0.3,0.06,1,1.5,2.5
Derrick Williams,LAL,27,2,4,0,0,0,0,0.5,0.5,1
Devin Booker,PHX,21,54,35,0.5,1.3,1.2,0.07,2.9,3.2,6.2
Devin Harris,DEN,35,71,19,0.1,1.3,0.8,0.17,1.4,1.5,2.9
Devin Robinson,WAS,23,1,13,0,1,0,1,2,2,4
Dewayne Dedmon,ATL,28,62,25,2.8,1.3,1,0.06,5.8,2.8,8.5
Deyonta Davis,MEM,21,62,15,2.1,0.7,0.3,0,4.6,1,5.6
Dillon Brooks,MEM,22,82,29,0.1,1.7,0.7,0.06,3.7,3.9,7.6
Dion Waiters,MIA,26,30,31,0.3,1.5,0.7,0,4.2,3,7.2
Dirk Nowitzki,DAL,40,77,25,2,1,0.4,0,5.5,1.6,7.1
Domantas Sabonis,IND,22,74,24,3.8,1.1,0.7,0.03,6.4,1.9,8.3
Donovan Mitchell,UTA,21,79,33,0.1,2.3,1,0.01,3.6,2.9,6.6
Dorian Finney-Smith,DAL,25,21,21,0.2,0.9,0.7,0.05,2.6,2,4.7
Doug McDermott,DAL,26,81,22,0.2,0.5,0.5,0,2,2.1,4.1
Dragan Bender,PHX,20,82,25,1.5,0.5,0.4,0,6.8,3.8,10.6
Draymond Green,GSW,28,70,33,1.8,3.1,0.9,0.07,8,4,11.9
Dwayne Bacon,CHA,22,53,13,0.1,0.3,0.3,0,1.6,1.7,3.3
Dwight Buycks,DET,29,29,15,0.1,1.5,0.3,0.07,1.2,1.6,2.7
Dwight Howard,CHA,32,81,30,4.2,1.6,0.6,0,7.2,1.6,8.8
Dwight Powell,DAL,26,79,21,2.1,1.6,0.9,0.09,5.5,3.1,8.6
Dwyane Wade,MIA,36,67,23,0.3,1.9,0.9,0.01,2.7,2.3,5
E'Twaun Moore,NOP,29,82,32,0.2,1.7,1.3,0,4,2.4,6.4
Ed Davis,POR,29,78,19,3.6,0.8,0.6,0.01,6,0.9,6.9
Edmond Sumner,IND,22,1,2,-,-,-,-,-,-,-
Ekpe Udoh,UTA,31,63,13,2.4,1.1,0.5,0,5.3,1.2,6.4
Elfrid Payton,PHX,24,63,29,0.5,2.3,1.5,0,3.3,2.8,6.1
Emeka Okafor,NOP,35,26,14,1,0.7,0.3,0.04,5,0.8,5.9
Emmanuel Mudiay,NYK,22,64,19,0.2,1.1,0.7,0.02,1.5,1.9,3.4
Enes Kanter,NYK,26,71,26,2.9,0.9,0.7,0,7,1.6,8.7
Eric Bledsoe,MIL,28,74,31,0.5,3.4,1.4,0.04,4,3,7
Eric Gordon,HOU,29,69,31,0.3,1.4,0.9,0.03,2.4,2.4,4.8
Eric Moreland,DET,26,67,12,1.9,0.9,0.4,0.19,4.1,0.8,4.9
Erik McCree,UTA,24,4,2,0,0,0.5,0,0,0,0
Ersan Ilyasova,PHI,31,69,25,1.8,1.7,0.9,0.46,4.6,2.2,6.8
Evan Fournier,ORL,25,57,32,0.4,2.2,0.8,0.02,3,2.3,5.3
Evan Turner,POR,29,79,26,0.2,1,0.8,0,3,2.4,5.4
Frank Kaminsky,CHA,25,79,23,1.6,0.6,0.6,0.04,4.7,2.6,7.3
Frank Mason,SAC,24,52,19,0.1,0.9,0.8,0,1.1,1.9,3
Frank Ntilikina,NYK,19,78,22,0.1,1.6,0.7,0.01,3,1.8,4.8
Fred VanVleet,TOR,24,76,20,0.3,1.7,0.9,0.08,2,1.7,3.7
Furkan Korkmaz,PHI,20,14,6,0,0.2,0.1,0,0.7,0.5,1.2
Garrett Temple,SAC,32,65,25,0.1,1.9,0.9,0.02,2.6,3.2,5.8
Gary Harris,DEN,23,67,34,0.1,3,1.4,0.06,2.5,2.9,5.4
Gary Payton II,LAL,25,23,10,0.2,0.9,0.3,0,1.3,0.9,2.2
George Hill,CLE,32,67,27,0.6,1.8,1,0.03,2.8,3,5.8
Georges Niang,UTA,25,9,4,0,0.2,0.2,0,0.6,0.2,0.8
Georgios Papagiannis,POR,20,17,7,1.2,0.3,0.2,0,3.1,0.8,3.9
Gerald Green,HOU,32,41,23,0.2,1.1,0.8,0.02,3.1,2.2,5.3
Gian Clavell,DAL,24,7,9,0,0.7,0.3,0,0.7,1.4,2.1
Giannis Antetokounmpo,MIL,23,75,37,1.4,2.5,1.8,0,6.6,3.7,10.3
Glenn Robinson III,IND,24,23,15,0.1,0.8,0.4,0,2.2,1.5,3.7
Goran Dragic,MIA,32,75,32,0.4,1.5,1.3,0.07,3.8,1.8,5.5
Gordon Hayward,BOS,28,1,5,0,0,1,0,0,0,0
Gorgui Dieng,MIN,28,79,17,1.7,1.3,0.7,0.18,4.9,1.8,6.7
Greg Monroe,BOS,28,51,20,1.8,1.5,0.9,0.04,5.8,0.8,6.5
Guerschon Yabusele,BOS,22,33,7,0.5,0.3,0.4,0,1.4,0.7,2
Harrison Barnes,DAL,26,77,34,0.9,1.1,1.3,0.01,4.9,3.6,8.5
Hassan Whiteside,MIA,29,54,25,3.1,1.1,1,0.02,8.6,1,9.6
Henry Ellenson,DET,21,38,9,0.7,0.2,0.2,0,1.8,1.4,3.2
Ian Clark,NOP,27,74,20,0.3,0.7,0.6,0.01,2,1.6,3.6
Ian Mahinmi,WAS,31,77,15,2.1,1.1,0.5,0.04,4.6,1.2,5.8
Ike Anigbogu,IND,19,11,3,0.3,0.1,0.3,0,1,0.2,1.2
Iman Shumpert,SAC,28,14,20,0.4,1.9,0.9,0,1.5,1.9,3.4
Isaiah Canaan,PHX,27,20,21,0.1,1.5,0.9,0.1,1.9,1.6,3.5
Isaiah Hicks,NYK,23,18,13,1.2,0.4,0.2,0,3.2,1.6,4.7
Isaiah Taylor,ATL,23,67,17,0,0.8,0.7,0.03,1.7,1.8,3.5
Isaiah Thomas,LAL,29,32,27,0.4,0.7,1.1,0.09,2.8,2.9,5.7
Isaiah Whitehead,BKN,23,16,11,0,0.6,0.3,0,1.4,1.4,2.9
Ish Smith,DET,29,82,25,0.1,1.4,1.1,0.13,2.8,2,4.8
Ivan Rabb,MEM,21,36,14,1.5,0.6,0.5,0,3.2,1.8,5
Ivica Zubac,LAL,21,43,10,1.2,0.3,0.3,0,3.9,1.1,5
J.J. Barea,DAL,34,69,23,0.1,0.7,0.8,0.04,1.3,1.9,3.2
JJ Redick,PHI,34,70,30,0.8,0.8,0.7,0.09,2.7,2.1,4.8
JR Smith,CLE,32,80,28,0.5,1.5,0.8,0.04,2.2,2.8,5
JaKarr Sampson,SAC,25,22,16,0.3,0.9,0.5,0.05,3.4,2,5.4
JaMychal Green,MEM,28,55,28,1.3,1.3,0.9,0.05,3.3,2.9,6.2
JaVale McGee,GSW,30,65,9,1.1,0.7,0.2,0,4,1.1,5
Jabari Bird,BOS,23,13,9,0,0.5,0.3,0,0.6,1,1.6
Jabari Parker,MIL,23,31,24,0.4,1.3,1.1,0,3.6,2.5,6
Jack Cooley,SAC,27,7,12,2.6,0.1,1,0,3.1,1.3,4.4
Jacob Pullen,PHI,28,3,2,0,0,0,0,0,0.7,0.7
Jacob Wiley,BKN,23,5,7,0.4,0.2,0.2,0,1.6,0.6,2.2
Jae Crowder,UTA,27,80,26,0.6,1.5,0.6,0.03,3.8,3,6.8
Jahlil Okafor,BKN,22,28,13,1.1,0.1,0.5,0,5.3,0.9,6.3
Jake Layman,POR,24,35,5,0,0.2,0.1,0,0.5,0.3,0.8
Jakob Poeltl,TOR,22,82,19,2.8,1,0.7,0.05,8.5,1.5,9.9
Jalen Jones,DAL,25,16,11,0.3,0.8,0.5,0.06,0.9,1.6,2.6
Jamal Crawford,MIN,38,80,21,0,0.9,0.6,0.01,0.6,0.9,1.6
Jamal Murray,DEN,21,81,32,0.4,2,1.3,0.06,4.3,3.4,7.7
Jameel Warney,DAL,24,3,9,2,0,0.3,0,0.7,1,1.7
Jameer Nelson,DET,36,50,20,0.2,0.9,0.6,0.08,1.5,1.8,3.3
Jamel Artis,ORL,25,15,19,0.1,0.7,0.3,0,2.1,1.5,3.5
James Ennis III,DET,27,72,22,0.2,1.3,0.7,0.01,2.5,2.5,5
James Harden,HOU,28,72,35,0.3,2.9,1.4,0.03,4.4,3.1,7.6
James Johnson,MIA,31,73,27,1.9,1.9,1,0,4.7,2.9,7.6
James Michael McAdoo,PHI,25,3,6,0.3,0,0,0,2.3,0,2.3
James Webb III,BKN,24,10,12,0.6,0.6,0.3,0,1.4,0.7,2.1
James Young,PHI,22,6,10,0,0.2,0,0,1.3,0.7,2
Jamil Wilson,LAC,27,15,18,0.9,0.8,0.5,0.13,3.5,2.1,5.6
Jared Dudley,PHX,32,48,14,0.8,0.8,0.4,0.06,1.9,1.2,3.1
Jarell Eddie,CHI,26,3,3,0,0.3,0.3,0,0.3,0.3,0.7
Jarell Martin,MEM,24,73,23,0.7,1.1,0.6,0.08,4.6,2.5,7
Jarrett Allen,BKN,20,72,20,2.2,0.8,0.7,0,9.7,1.3,11
Jarrett Jack,NYK,34,62,25,0.2,1.1,1,0.03,1.7,2.6,4.3
Jason Smith,WAS,32,33,9,0.9,0.2,0.1,0.09,1.7,1.3,3
Jason Terry,MIL,40,51,16,0.2,1.3,0.5,0.02,1.4,1.2,2.6
Jawun Evans,LAC,21,48,16,0.1,1.7,0.5,0.1,1.3,1.5,2.8
Jaylen Brown,BOS,21,70,31,0.3,2,1.1,0.07,3.3,3.4,6.7
Jaylen Morris,ATL,22,6,16,0,1,0.5,0.17,4,2.7,6.7
Jayson Tatum,BOS,20,80,31,0.4,1.7,0.8,0.01,3.4,3,6.4
Jeff Green,CLE,31,78,23,0.9,1,0.6,0.08,4.5,3,7.5
Jeff Teague,MIN,30,70,33,0.4,2.7,1.2,0.1,2.6,2.9,5.5
Jeff Withey,DAL,28,10,4,0.4,0,0,0,1.3,0.5,1.8
Jerami Grant,OKC,24,81,20,1.7,0.6,0.6,0.21,4.4,2.2,6.6
Jeremy Evans,ATL,30,1,5,2,0,0,0,0,2,2
Jeremy Lamb,CHA,26,80,25,0.1,1.6,0.9,0.01,2.4,3,5.4
Jeremy Lin,BKN,29,1,25,0,3,0,0,3,1,4
Jerian Grant,CHI,25,74,23,0.2,1.4,0.6,0.04,2.4,2.8,5.2
Jerryd Bayless,PHI,29,39,24,0.1,1,0.8,0.05,3,2.2,5.2
Jimmy Butler,MIN,28,59,37,0.4,3.5,1.9,0.12,3.1,3.1,6.3
Joakim Noah,NYK,33,7,6,0.6,0.6,0.1,0,2.1,0.4,2.6
Jodie Meeks,WAS,30,77,15,0.1,0.6,0.4,0.01,1.3,1.4,2.6
Joe Harris,BKN,26,78,25,0.2,0.8,0.8,0.03,4.2,2.3,6.5
Joe Ingles,UTA,30,82,31,0.4,2.3,1,0,2.7,2.9,5.7
Joe Johnson,HOU,37,55,22,0.4,0.7,0.7,0,2.4,2.8,5.2
Joe Young,IND,26,53,11,0,0.5,0.5,0.04,0.8,1,1.8
Joel Bolomboy,MIL,24,6,6,0.8,0.3,0.2,0,2,0.8,2.8
Joel Embiid,PHI,24,63,30,3,1.1,1.3,0.02,9.6,1.9,11.5
Joffrey Lauvergne,SAS,26,55,10,1.4,0.2,0.3,0,2.3,0.4,2.7
John Collins,ATL,20,74,24,3.1,1,0.9,0,7.7,2.2,10
John Henson,MIL,27,76,26,2.7,1.5,0.4,0,7.8,1.7,9.6
John Holland,CLE,29,24,7,0.1,0.4,0.4,0.08,1,0.7,1.6
John Wall,WAS,27,41,34,0.1,2.7,1.2,0.1,5.4,1.8,7.2
Johnathan Motley,DAL,23,11,16,1.4,0.5,0.4,0,3.3,1,4.3
Johnny O'Bryant III,CHA,25,36,11,1.1,0.4,0.4,0.14,2.4,0.5,2.9
Jon Leuer,DET,29,8,17,1.5,0.1,0,0,2.8,1.1,3.9
Jonas Jerebko,UTA,31,74,15,0.5,0.6,0.3,0.08,2.7,1.2,4
Jonas Valanciunas,TOR,26,77,22,2.2,0.8,0.6,0.04,9.9,1.1,11
Jonathan Gibson,BOS,30,4,10,0,0.3,0.3,0,0.3,0.8,1
Jonathan Isaac,ORL,20,27,20,0.5,2.2,0.7,0.15,5.6,1.7,7.3
Jonathon Simmons,ORL,28,69,29,0.1,1.7,0.9,0.07,2.6,2.4,4.9
Jordan Bell,GSW,23,57,14,1.5,1.2,0.5,0,4.6,2.2,6.8
Jordan Clarkson,CLE,26,81,23,0.2,1.1,0.8,0,3.2,2.3,5.5
Jordan Crawford,NOP,29,5,11,0,0.4,0.2,0,0.6,0.6,1.2
Jordan Mickey,MIA,23,23,12,1.3,0.7,0.5,0,3.4,0.9,4.2
Jose Calderon,CLE,36,57,16,0.4,1,0.7,0.11,1.7,1.7,3.4
Josh Gray,PHX,24,5,17,0,2,0.4,0,2.6,1,3.6
Josh Hart,LAL,23,63,23,0.1,1.3,0.7,0.03,4.9,2.9,7.8
Josh Huestis,OKC,26,69,14,0.1,0.4,0.4,0.01,3.1,1.6,4.6
Josh Jackson,PHX,21,77,25,0.1,1.6,0.9,0.08,3,2.4,5.3
Josh Magette,ATL,28,18,12,0.1,0.6,0.5,0.17,1.8,1.2,2.9
Josh McRoberts,DAL,31,2,3,0,0,0,0,0,1.5,1.5
Josh Richardson,MIA,24,81,33,0.2,2.7,1.2,0.1,5.3,3.1,8.4
Josh Smith,NOP,32,3,4,0,0,0,0,1,0.3,1.3
Jrue Holiday,NOP,28,81,36,0.4,3.2,1.6,0.02,4.5,4.3,8.8
Juancho Hernangomez,DEN,22,25,11,0.2,0.5,0.3,0.04,2.3,1.5,3.8
Julius Randle,LAL,23,82,27,2,1.1,1.2,0.02,5.7,2.7,8.3
Julyan Stone,CHA,29,23,8,0.1,0.4,0.3,0,1.1,0.7,1.7
Justin Anderson,PHI,24,38,14,0.1,0.7,0.3,0.05,1.6,1.6,3.2
Justin Holiday,CHI,29,72,31,0.3,2.2,0.9,0.01,4.4,3.6,7.9
Justin Jackson,SAC,23,68,22,0.1,0.6,0.5,0,2.5,1.9,4.5
Justin Patton,MIN,21,1,4,0,1,0,0,0,0,0
Justise Winslow,MIA,22,68,25,0.7,1.5,1.2,0.01,4.1,2.9,7
Jusuf Nurkic,POR,23,79,26,3.7,1.7,0.9,0.03,9.8,1.9,11.7
Kadeem Allen,BOS,25,18,6,0.3,0.4,0.1,0,0.3,0.5,0.8
Karl-Anthony Towns,MIN,22,82,36,2.6,1.4,1.4,0.21,11.4,2.9,14.4
Kawhi Leonard,SAS,27,9,23,0.1,2.7,1.4,0,3.1,2.6,5.7
Kay Felder,DET,23,16,9,0,0.5,0.1,0.13,0.5,0.9,1.4
Kelly Olynyk,MIA,27,76,23,2.7,1.8,0.8,0.2,5.7,2.1,7.7
Kelly Oubre Jr.,WAS,22,81,28,0.2,2.6,0.9,0.12,3.5,2.9,6.3
Kemba Walker,CHA,28,80,34,0.2,1.9,1.3,0.3,4.3,3.7,8
Kendrick Perkins,CLE,33,1,15,1,2,1,0,3,1,4
Kenneth Faried,DEN,28,32,14,1.1,0.7,0.3,0.16,3.2,1.4,4.7
Kent Bazemore,ATL,28,65,28,0.4,2.9,1.2,0.02,3.5,2.3,5.8
Kentavious Caldwell-Pope,LAL,25,74,33,0.1,2.4,1.4,0.08,2.4,1.9,4.2
Kevin Durant,GSW,29,68,34,0.6,1.5,1,0.06,6.3,3.4,9.6
Kevin Love,CLE,29,59,28,1.4,1.3,1.1,0.19,4.9,1.8,6.7
Kevon Looney,GSW,22,66,14,1,0.7,0.7,0.02,4.6,1.9,6.5
Khem Birch,ORL,25,42,14,1.8,0.7,0.5,0.05,4.3,1.2,5.5
Khris Middleton,MIL,26,82,36,0.7,2.8,1.2,0.13,3.7,3.6,7.3
Klay Thompson,GSW,28,73,34,0.4,1.1,1,0,4,2.6,6.6
Kobi Simmons,MEM,20,32,20,0.2,0.8,0.5,0.19,1.3,1.3,2.6
Kosta Koufos,SAC,29,71,20,2.8,1.2,0.5,0,6,1.3,7.2
Kris Dunn,CHI,24,52,29,0.2,3.1,1.4,0,3.9,3.9,7.7
Kristaps Porzingis,NYK,22,48,32,2.3,1.5,1,0.15,9.4,4.3,13.7
Kyle Anderson,SAS,24,74,27,0.4,2.5,1,0.04,4,2,6
Kyle Collinsworth,DAL,26,32,15,0.2,1.2,0.8,0,2.5,1.3,3.8
Kyle Korver,CLE,37,73,22,0.8,0.7,0.6,0.05,2.9,2.4,5.3
Kyle Kuzma,LAL,22,77,31,0.7,1,0.7,0.08,6,3.2,9.2
Kyle Lowry,TOR,32,78,32,0.6,2.3,1.2,0.47,2.7,2.5,5.2
Kyle O'Quinn,NYK,28,77,18,1.7,1,0.7,0.01,6.4,1.4,7.9
Kyle Singler,OKC,30,12,5,0,0.3,0.1,0,0.7,0.7,1.3
Kyrie Irving,BOS,26,60,32,0.5,2,1.2,0.1,3,2.2,5.2
LaMarcus Aldridge,SAS,32,75,33,3.2,1.5,1,0,10,2.6,12.6
Lance Stephenson,IND,27,82,23,0,1.3,0.8,0,1.5,1.7,3.2
Lance Thomas,NYK,30,73,19,0.5,0.9,0.4,0.08,1.8,1.8,3.6
Langston Galloway,DET,26,58,15,0.1,0.9,0.6,0.02,1.4,1.5,2.9
Larry Drew II,NOP,28,10,7,0,0,0.2,0,0.8,0.7,1.5
Larry Nance Jr.,CLE,25,66,22,2,2.4,1,0.03,5.2,1.9,7.1
Lauri Markkanen,CHI,21,68,30,1.1,1.1,0.7,0.01,6.3,2.5,8.8
LeBron James,CLE,33,82,37,1,2.2,1.2,0.15,4,3,7
London Perrantes,CLE,23,14,5,0,0.3,0.1,0,0.4,0.4,0.8
Lonzo Ball,LAL,20,52,34,0.3,2.9,1.3,0,4.6,3.1,7.7
Lorenzo Brown,TOR,27,14,10,0.1,0.8,0.1,0,0.8,1.1,1.9
Lou Williams,LAC,31,79,33,0.2,2.1,1.1,0.05,2.3,2.8,5
Luc Mbah a Moute,HOU,31,61,26,0.5,1.8,0.8,0.05,4.9,2.6,7.5
Lucas Nogueira,TOR,25,49,9,1.3,0.9,0.2,0,4.1,0.8,4.9
Luis Montero,DET,25,2,4,0.5,0,0,0,0,1,1
Luke Babbitt,MIA,29,50,14,0.9,0.3,0.2,0,3.8,2.1,6
Luke Kennard,DET,22,73,20,0.1,0.9,0.5,0.01,2,2,4
Luke Kornet,NYK,22,20,16,1.4,0.8,0.3,0,6.2,1.1,7.3
Luol Deng,LAL,33,1,13,0,1,0,0,1,4,5
Malachi Richardson,TOR,22,26,12,0.1,0.7,0.2,0.04,0.7,1.5,2.2
Malcolm Brogdon,MIL,25,48,30,0.4,1.2,1,0.02,3.7,2.6,6.3
Malcolm Delaney,ATL,29,54,19,0.2,1.3,0.4,0.22,1,1.6,2.6
Malcolm Miller,TOR,25,15,8,0.1,0.2,0.4,0,1.1,1.1,2.2
Malik Beasley,DEN,21,62,9,0,0.4,0.4,0.05,1.1,0.7,1.8
Malik Monk,CHA,20,63,14,0.1,0.7,0.3,0.02,1.1,0.9,2
Mangok Mathiang,CHA,25,4,5,0.5,0.3,0.8,0,1.5,0,1.5
Manu Ginobili,SAS,40,65,20,0.2,1.9,0.6,0.23,1.4,1.2,2.6
