Player_Num,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
257,Greg Monroe,BOS,28,12,5,7,3,1,0.3,0.4,60,0,0,0,0.5,0.6,85.7,0.5,0.3,0.8,0.4,0.1,0,0,0.3,2.5,4,1,-2.3
257,Wayne Selden,MEM,23,12,3,9,2.4,1.6,0.4,0.9,45.5,0.3,0.7,50,0.4,0.5,83.3,0.1,0.1,0.2,0,0,0,0,0.1,1.8,0,0,-1.2
257,Nemanja Bjelica,MIN,30,12,6,6,2.2,0.8,0.3,0.7,50,0.2,0.2,100,0,0.2,0,0.1,0.3,0.3,0,0.3,0,0.1,0.4,1.2,0,0,0.7
263,Skal Labissiere,SAC,22,11,4,7,2.7,0.5,0.2,0.5,40,0.2,0.2,100,0,0,0,0.2,0.2,0.4,0,0.2,0.1,0,0.2,1.1,1,0,-0.5
263,Trey Burke,NYK,25,11,3,8,2.6,1.3,0.5,1.3,42.9,0,0.5,0,0.2,0.3,66.7,0,0.2,0.2,0.5,0.1,0,0,0.6,2.1,2,0,-2.1
263,C.J. Williams,LAC,28,11,8,3,1.3,0.9,0.3,0.3,100,0.1,0.1,100,0.3,0.4,75,0,0.3,0.3,0,0.2,0,0.1,0.1,1.3,0,0,-0.6
263,Bismack Biyombo,ORL,25,11,3,8,3.7,1.2,0.4,0.5,80,0,0,0,0.5,0.5,83.3,0.5,1.1,1.5,0,0.2,0.2,0.3,0.6,4.2,5,0,-2.3
263,Tyus Jones,MIN,22,11,5,6,2.4,0.5,0.2,0.3,66.7,0.1,0.2,50,0,0,0,0.1,0.1,0.2,0.1,0.5,0,0,0.2,0.4,0,0,-1.9
263,Shane Larkin,BOS,25,11,9,2,2.6,0.8,0.3,0.6,42.9,0.1,0.3,33.3,0.2,0.2,100,0.1,0.5,0.6,0.2,0.2,0.1,0,0.1,1.9,0,0,1.9
263,Ryan Anderson,HOU,30,11,5,6,1.9,0.3,0,0.1,0,0,0.1,0,0.3,0.3,100,0.1,0.3,0.4,0.1,0,0,0.1,0.5,1.1,1,0,0.9
263,Vince Carter,SAC,41,11,9,2,2.3,0,0,0.5,0,0,0.3,0,0,0,0,0.3,0.5,0.7,0.4,0,0,0,0.3,1.4,0,0,2.7
263,Ian Mahinmi,WAS,31,11,7,4,2.5,0.3,0.1,0.2,50,0,0,0,0.1,0.1,100,0.2,0.4,0.5,0.1,0.2,0,0.1,0.5,1.2,1,0,0.9
263,Kevon Looney,GSW,22,11,7,4,2.1,0.8,0.3,0.3,100,0,0,0,0.3,0.5,60,0,0.5,0.5,0.1,0,0,0,0.1,1.5,0,0,0.3
263,Patrick McCaw,GSW,22,11,8,3,2.1,0.2,0.1,0.2,50,0,0,0,0,0,0,0,0.1,0.1,0.3,0,0,0,0.3,0.7,0,0,-0.5
263,Jodie Meeks,WAS,30,11,4,7,1.9,0.8,0.2,0.7,25,0.2,0.5,33.3,0.3,0.3,100,0,0.1,0.1,0,0.1,0,0,0.7,0.8,0,0,-2.2
275,Daniel Theis,BOS,26,10,5,5,2.1,0.3,0.1,0.1,100,0.1,0.1,100,0,0.2,0,0.1,0.2,0.3,0,0,0,0.1,0.2,1,0,0,-0.4
