Player_Num,VS PLAYER,TEAM,GP,W,L,MIN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PFD,OPP PTS,OPP +/-
518,"Munford, Xavier",MIL,6,2,4,3.5,3,5.5,54.5,0.8,1.8,45.5,1.5,1.8,81.8,0.5,1.8,2.3,1.8,0.8,0.7,0.7,0.2,1.3,1.2,8.3,2
518,"Morris, Jaylen",ATL,6,2,4,16.4,13.8,31.7,43.7,4.7,11.7,40,6.2,7.7,80.4,3.5,12.3,15.8,8,5,3.5,1.7,2,7.2,8,38.5,7
518,"Bradley, Avery",LAC,6,5,1,27.5,21.3,52.5,40.6,7.8,21.8,35.9,7.5,8.7,86.5,5.2,20,25.2,14.5,7,3.3,3.7,2.3,11.2,8.2,58,-0.5
518,"Bolomboy, Joel",MIL,6,3,3,6.3,4.7,9.8,47.5,1.2,3.3,35,2,2.3,85.7,0.7,4.5,5.2,2.2,2.5,0.8,0.8,0.8,2.3,2.3,12.5,2
527,"Paige, Marcus",CHA,5,4,1,5.6,4,8,50,0.8,2,40,3.4,5,68,0.4,4,4.4,2.8,1.2,0,0.6,0.4,2.8,3.2,12.2,-1.6
527,"Gray, Josh",PHX,5,0,5,17.3,15.6,30.2,51.7,5,10.4,48.1,8.6,10.2,84.3,2.2,17,19.2,8.6,5.4,3.2,2.8,1.8,7.4,7.4,44.8,13.8
527,"Rathan-Mayes, Xavier",MEM,5,0,5,23.6,19.4,37.2,52.2,5,12.6,39.7,12.6,16.2,77.8,4.6,19.2,23.8,12.8,10.2,5.6,2,2.2,8.8,12.4,56.4,11.8
527,"Weber, Briante",MEM,5,1,4,23.8,20.8,40.4,51.5,7.2,18,40,11.8,15.6,75.6,4.6,16.8,21.4,14.2,6.8,4,2.4,3,12.2,12,60.6,9.6
527,"Payne, Adreian",ORL,5,0,5,8.5,8.2,14.2,57.7,2.4,5,48,1.6,2,80,1.8,6,7.8,5.4,3.6,1.2,0.2,0.6,4.8,2.2,20.4,2.6
527,"Crawford, Jordan",NOP,5,3,2,10.7,11.6,21,55.2,2.8,7,40,4.8,7.6,63.2,2.6,7.2,9.8,6,2.2,2.2,1.6,1.2,4,5,30.8,3.8
527,"Hayes, Nigel",SAC,5,3,2,21.1,14.8,35.4,41.8,3,12.8,23.4,5.4,8.4,64.3,3.6,15.4,19,7.8,5.4,2.4,3,1.4,7.8,8.6,38,0.6
527,"Monroe, Greg",MIL,5,3,2,15.9,11.4,27.8,41,3.2,9.8,32.7,6.2,7.2,86.1,3.2,12,15.2,6.2,4.6,3,0.6,0.2,4.4,5.4,32.2,0.8
527,"Blue, Vander",LAL,5,1,4,9,6.6,15,44,1.6,4.8,33.3,1.8,2.4,75,0.6,4.2,4.8,3.4,3.4,2.6,0.6,0.8,4.2,3.2,16.6,-3
527,"Wolters, Nate",UTA,5,3,2,3.8,2.8,6,46.7,1.4,3.6,38.9,0.2,0.8,25,0.8,2.2,3,1.8,1.2,0.4,0.6,0.2,1.4,0.8,7.2,-0.6
527,"Lemon Jr., Walter",NOP,5,4,1,7,7.8,13.4,58.2,1.8,3.6,50,2.6,3.6,72.2,1.2,5.2,6.4,4.4,2.4,0.6,1.4,0.8,1.6,3.2,20,3
527,"Vaughn, Rashad",ORL,5,1,4,7,5.8,13,44.6,1.4,3.4,41.2,2.2,3.8,57.9,2.4,4.8,7.2,4,2,2.4,1.2,0.6,3.6,3.8,15.2,1.2
527,"Hunter, RJ",HOU,5,3,2,9,6.4,16.6,38.6,1.8,7.6,23.7,3,4.4,68.2,1.6,7.4,9,4.4,1.6,1.4,0.6,1.4,3,4,17.6,-0.2
527,"Wiley, Jacob",BKN,5,1,4,6.7,4.4,11.8,37.3,1.2,4.2,28.6,1,1.6,62.5,1,5.8,6.8,2.4,2,1.6,0.6,0.4,3.2,1.4,11,-2.6
527,"Williams, Alan",PHX,5,1,4,14.1,9.4,23,40.9,2.4,7.2,33.3,4.6,5.8,79.3,3.4,11.4,14.8,5.8,5.8,2.8,1.8,1.8,5.4,5.4,25.8,-0.2
542,"Mathiang, Mangok",CHA,4,3,1,5,2.8,7.5,36.7,0.5,2,25,4,4.8,84.2,0.5,3.3,3.8,1.8,1.3,0.5,0.5,0.3,2,2.8,10,-0.3
542,"Brown, Markel",HOU,4,4,0,7.9,6.8,15.5,43.5,2,5.3,38.1,3.5,4.8,73.7,3,6.3,9.3,3.8,1,0.8,0.5,1,2.5,3.5,19,4.3
542,"Brussino, Nicolas",ATL,4,0,4,2.5,0.8,4.3,17.6,0,2.8,0,0.5,1,50,0.3,1,1.3,0.5,0.5,0.5,0,0.3,0.8,0.5,2,-4.3
542,"Cleveland, Antonius",ATL,4,2,2,10.4,8.8,20,43.8,2.5,6.8,37,4.8,7,67.9,2.3,9,11.3,5.3,2.3,2,1.3,1.5,3.5,4.8,24.8,4
