PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,EFG%
Garrett Temple,SAC,65,24.8,3.6,1.2,3,41.1,1.1,2.6,42.8,59.1
Gary Harris,DEN,67,34.4,5.4,1.8,4.5,40.6,1.8,4.4,40.6,60.2
Gary Payton II,LAL,23,9.6,0.8,0.3,1,27.3,0.3,1,27.3,40.9
George Hill,CLE,67,27,2.9,1,2.4,40.4,0.9,2.3,41.4,59.9
Georges Niang,UTA,9,3.5,0,0,0.4,0,0,0.4,0,0
Georgios Papagiannis,POR,17,7.2,0.6,0.3,0.6,45.5,0,0,0,45.5
Gerald Green,HOU,41,22.7,5.7,1.9,5.4,35.9,1.9,5.2,35.8,53.2
Gian Clavell,DAL,7,9.1,2.6,0.9,1.7,50,0.9,1.7,50,75
Giannis Antetokounmpo,MIL,74,36.7,1.3,0.5,1.4,32.4,0.4,1.2,34.5,46.7
Glenn Robinson III,IND,23,14.7,2,0.7,1.6,43.2,0.6,1.4,42.4,62.2
Goran Dragic,MIA,74,31.7,3.5,1.2,3.1,39.8,1.1,2.8,39.8,58
Gordon Hayward,BOS,1,5.3,2,1,2,50,0,1,0,50
Gorgui Dieng,MIN,79,16.9,2.4,1.1,2.5,44.6,0.2,0.7,30.9,49
Greg Monroe,BOS,50,20.5,0.4,0.2,0.5,38.5,0,0,0,38.5
Guerschon Yabusele,BOS,32,7.3,1.2,0.4,1.2,34.2,0.4,1.1,33.3,50
Harrison Barnes,DAL,77,34.2,4.3,1.6,4.2,37.2,1.2,3.3,35,50.9
Hassan Whiteside,MIA,54,25.3,1.7,0.8,1.9,41.9,0,0,100,42.9
Henry Ellenson,DET,38,8.7,1.6,0.5,1.7,30.3,0.5,1.5,33.9,44.7
Ian Clark,NOP,74,19.7,1.9,0.7,1.9,34.3,0.6,1.9,32.1,49.7
Ian Mahinmi,WAS,77,14.9,0,0,0.1,12.5,0,0,0,12.5
Ike Anigbogu,IND,11,2.7,0.5,0.3,0.5,60,0,0,0,60
Iman Shumpert,SAC,14,19.7,0.6,0.2,1.4,15.8,0.2,1.2,17.6,23.7
Isaiah Canaan,PHX,20,21.1,1.7,0.6,1.4,39.3,0.6,1.4,39.3,58.9
Isaiah Hicks,NYK,18,13.3,0.7,0.3,1,27.8,0.1,0.4,25,33.3
Isaiah Taylor,ATL,67,17.4,0.7,0.3,1,25.7,0.2,0.9,24.6,35.7
Isaiah Thomas,LAL,32,26.9,2.2,0.7,2.6,27.4,0.7,2.6,28,41.1
Isaiah Whitehead,BKN,15,10.9,0.6,0.2,0.7,30,0.2,0.7,30,45
Ish Smith,DET,82,24.9,0.7,0.2,0.7,34.5,0.2,0.6,30.4,46.6
Ivan Rabb,MEM,36,14.3,1.2,0.6,1.2,50,0,0,0,50
Ivica Zubac,LAL,43,9.5,0.1,0,0.2,22.2,0,0,0,22.2
J.J. Barea,DAL,69,23.2,2.7,0.9,1.8,50,0.9,1.7,50.4,74.2
JJ Redick,PHI,69,30.2,7,2.5,5.4,46.5,2,4.3,45.9,64.8
JR Smith,CLE,80,28.1,4.4,1.5,3.8,39.1,1.5,3.7,39.3,58.4
JaKarr Sampson,SAC,22,15.6,0.9,0.3,0.8,38.9,0.2,0.5,50,52.8
JaMychal Green,MEM,55,28,3.3,1.2,3.6,34.7,0.8,2.3,34.4,45.7
JaVale McGee,GSW,65,9.5,0.3,0.1,0.4,34.6,0,0.1,0,34.6
Jabari Bird,BOS,13,8.8,0.7,0.2,0.6,37.5,0.2,0.5,42.9,56.3
Jabari Parker,MIL,31,24,3.2,1.2,2.8,43,0.8,2,41.3,58.1
Jack Cooley,SAC,7,12.5,0,0,0.4,0,0,0,0,0
Jacob Pullen,PHI,3,2,0,0,0.3,0,0,0.3,0,0
Jacob Wiley,BKN,4,8.1,0.8,0.3,0.5,50,0.3,0.5,50,75
Jae Crowder,UTA,80,26.1,4,1.4,4.1,34.7,1.2,3.5,33.7,49.1
Jahlil Okafor,BKN,28,12.6,0.4,0.2,0.3,62.5,0,0.1,33.3,68.8
Jake Layman,POR,35,4.6,0.3,0.1,0.7,16.7,0.1,0.5,21.1,25
Jakob Poeltl,TOR,82,18.6,0.2,0.1,0.2,30,0,0,50,32.5
Jalen Jones,DAL,16,11.3,1.5,0.5,1.3,40,0.5,1.3,40,60
Jamal Crawford,MIN,80,20.7,2.7,0.9,2.4,39.3,0.8,2.1,36.8,55.8
Jamal Murray,DEN,81,31.7,4.2,1.4,3.4,42.7,1.3,3.2,41.6,62.2
Jameel Warney,DAL,3,9,0.7,0.3,1,33.3,0,0,0,33.3
Jameer Nelson,DET,50,20.3,1.6,0.5,1.6,34.2,0.5,1.4,35.2,50
Jamel Artis,ORL,15,18.6,1.7,0.6,1.9,31,0.5,1.5,30.4,43.1
James Ennis III,DET,72,22.3,2.2,0.8,2.1,36.5,0.7,1.9,34.6,52.4
James Harden,HOU,72,35.4,2.3,0.8,2.3,33.1,0.7,2.2,32.5,48.5
James Johnson,MIA,72,26.6,2.2,0.7,2.2,32.9,0.7,2,34.2,48.4
James Michael McAdoo,PHI,3,6,2,0.7,2.3,28.6,0.7,2.3,28.6,42.9
James Webb III,BKN,10,12,1.2,0.4,2,20,0.4,1.9,21.1,30
James Young,PHI,6,10.2,1.5,0.5,1.8,27.3,0.5,1.7,30,40.9
Jamil Wilson,LAC,15,18.3,5.5,1.9,4.3,43.8,1.8,4.2,42.9,64.8
Jared Dudley,PHX,48,14.3,1.9,0.7,1.8,37.6,0.6,1.6,37.7,54.7
Jarell Eddie,CHI,3,2.9,0,0,0.3,0,0,0.3,0,0
Jarell Martin,MEM,73,22.7,2.3,0.9,2.5,36.8,0.5,1.3,35.1,45.7
Jarrett Allen,BKN,70,20,0.5,0.2,0.6,41,0.1,0.2,33.3,47.4
Jarrett Jack,NYK,61,24.8,0.8,0.3,0.9,31.5,0.2,0.8,27.7,43.5
Jason Smith,WAS,33,8.6,1.3,0.6,2.2,29.2,0.1,0.9,6.7,30.6
Jason Terry,MIL,51,16,2.3,0.8,2.1,36.1,0.7,2,35.6,53.2
Jawun Evans,LAC,48,16.2,0.7,0.3,1,24.5,0.2,0.9,20.5,33.7
Jaylen Brown,BOS,67,30.6,4.9,1.7,4.3,39.7,1.5,3.9,39.3,57.7
Jaylen Morris,ATL,6,16.4,0.8,0.3,1.3,25,0.2,1,16.7,31.3
Jayson Tatum,BOS,77,30.7,3.5,1.2,2.6,46.8,1.1,2.3,48.3,67.7
Jeff Green,CLE,78,23.4,2.1,0.7,2.2,31.6,0.6,1.9,33.1,46
Jeff Teague,MIN,70,33,1.5,0.5,1.3,40.9,0.5,1.2,38.8,59.7
Jeff Withey,DAL,10,3.9,0.6,0.2,1,20,0.2,1,20,30
Jerami Grant,OKC,80,20.3,1.3,0.5,1.4,31.6,0.4,1.3,29.1,44.7
Jeremy Evans,ATL,1,5.4,0,0,0,0,0,0,0,0
Jeremy Lamb,CHA,80,24.6,2.9,1.1,2.7,39.9,0.8,2,39,54.5
Jeremy Lin,BKN,1,25.2,0,0,0,0,0,0,0,0
Jerian Grant,CHI,74,22.8,1.5,0.5,1.3,38.4,0.5,1.2,38,56.1
Jerryd Bayless,PHI,38,23.9,3.8,1.3,3.7,34.3,1.3,3.5,36.4,51.4
Jimmy Butler,MIN,59,36.7,2.6,0.9,2.8,33.9,0.7,1.9,38.7,47
Joakim Noah,NYK,7,5.7,0,0,0,0,0,0,0,0
Jodie Meeks,WAS,77,14.5,2.3,0.8,2.2,36.4,0.7,2,34.4,52
Joe Harris,BKN,77,25.3,4.9,1.6,4,40.9,1.6,3.9,41.2,61
Joe Ingles,UTA,82,31.4,5.9,2,4.3,45.9,2,4.3,46.1,68.7
Joe Johnson,HOU,55,21.9,2.2,0.8,2.6,29,0.7,2.5,27.7,42.1
Joe Young,IND,53,10.5,1.2,0.4,1,42.6,0.4,0.9,39.6,60.2
Joel Bolomboy,MIL,6,6.3,0,0,0.2,0,0,0.2,0,0
Joel Embiid,PHI,62,30.3,4.8,1.9,5.1,37.8,1,3.1,30.9,47.1
Joffrey Lauvergne,SAS,55,9.7,0.1,0.1,0.3,21.4,0,0.1,0,21.4
John Collins,ATL,73,24.1,1,0.4,1.2,32.2,0.2,0.6,38.1,41.1
John Henson,MIL,75,26,0.5,0.3,0.7,33.9,0,0.1,20,34.8
John Holland,CLE,24,7.3,0.9,0.3,1.2,25,0.3,1.1,26.9,37.5
John Wall,WAS,41,34.4,2.6,0.9,2.1,41.9,0.9,2,42.2,62.2
Johnathan Motley,DAL,11,16,0.8,0.4,1.5,23.5,0.1,0.5,20,26.5
Johnny O'Bryant III,CHA,36,10.5,1.7,0.6,1.9,34.3,0.4,1.1,34.1,44.8
Jon Leuer,DET,8,17.1,0.5,0.3,1.6,15.4,0,0.4,0,15.4
Jonas Jerebko,UTA,74,15.3,2.8,1,2.3,42.5,0.9,2,43,62
Jonas Valanciunas,TOR,77,22.4,1.8,0.7,1.8,41.2,0.4,0.9,40.8,51.8
Jonathan Gibson,BOS,4,10,3,1,2,50,1,2,50,75
Jonathan Isaac,ORL,27,19.8,1.9,0.7,2.1,32.1,0.6,1.6,38.1,46.4
Jonathon Simmons,ORL,69,29.4,2.6,0.9,2.4,37.5,0.8,2.2,35.1,53.3
Jordan Bell,GSW,57,14.2,0.4,0.2,0.4,52.4,0,0.1,0,52.4
Jordan Clarkson,CLE,81,23.3,3.2,1.1,2.9,38.2,1,2.5,38.4,54.9
Jordan Crawford,NOP,5,10.7,2.4,0.8,1,80,0.8,1,80,120
Jordan Mickey,MIA,23,12.4,0.3,0.1,0.9,15,0.1,0.7,13.3,20
Jose Calderon,CLE,57,16,2,0.7,1.3,53.4,0.6,1.2,52.1,78.8
Josh Gray,PHX,5,17.3,1.8,0.6,1.6,37.5,0.6,1.6,37.5,56.3
Josh Hart,LAL,63,23.2,3.3,1.1,2.8,40.3,1.1,2.7,40.7,59.7
Josh Huestis,OKC,68,14.2,1.5,0.5,1.8,29.2,0.5,1.7,28.9,42.9
Josh Jackson,PHX,77,25.4,2,0.7,2.4,28.8,0.6,2.2,28.3,42.1
Josh Magette,ATL,18,12,1,0.3,0.6,54.5,0.3,0.6,54.5,81.8
Josh McRoberts,DAL,2,2.9,0,0,0.5,0,0,0.5,0,0
Josh Richardson,MIA,80,33.2,5.1,1.8,4.6,38.6,1.5,4,38.6,55.1
Josh Smith,NOP,3,3.9,0,0,0.3,0,0,0,0,0
Jrue Holiday,NOP,81,36.1,2.5,0.8,2.1,38.7,0.8,2,39.4,57.5
Juancho Hernangomez,DEN,25,11.1,1.4,0.5,1.8,26.7,0.5,1.8,27.3,40
Julius Randle,LAL,82,26.7,0.6,0.3,0.9,29.6,0.1,0.4,27.8,36.6
Julyan Stone,CHA,23,7.6,0.8,0.3,0.5,50,0.3,0.5,50,75
Justin Anderson,PHI,37,13.9,2.5,0.8,2.4,34.4,0.8,2.4,34.8,51.7
Justin Holiday,CHI,72,31.5,5.6,1.9,5.2,36.6,1.8,4.8,36.8,53.5
Justin Jackson,SAC,68,22.2,2.5,0.9,2.8,30.7,0.8,2.5,31,44.4
Justin Patton,MIN,1,3.7,0,0,0,0,0,0,0,0
Justise Winslow,MIA,67,24.7,2.1,0.7,2,34.6,0.7,1.8,37.8,51.1
Jusuf Nurkic,POR,79,26.4,1.6,0.8,2.1,36.7,0,0.1,0,36.7
Kadeem Allen,BOS,18,6,0,0,0.4,0,0,0.4,0,0
Karl-Anthony Towns,MIN,82,35.6,5.6,2.1,4.8,44,1.4,3.3,43.2,59
Kawhi Leonard,SAS,9,23.3,1.9,0.7,2.3,28.6,0.6,2.1,26.3,40.5
Kay Felder,DET,16,8.7,0.6,0.2,0.4,42.9,0.2,0.4,50,64.3
Kelly Olynyk,MIA,75,23.3,4.3,1.5,3.9,38.3,1.3,3.3,38.3,54.4
Kelly Oubre Jr.,WAS,81,27.5,4.1,1.4,4.1,33.9,1.3,3.9,34.2,50.5
Kemba Walker,CHA,80,34.2,3.6,1.2,3,40.3,1.1,2.9,39.5,58.8
Kendrick Perkins,CLE,1,14.5,0,0,0,0,0,0,0,0
Kenneth Faried,DEN,32,14.4,0.3,0.2,0.3,45.5,0,0,0,45.5
Kent Bazemore,ATL,64,27.5,3.7,1.3,3,43.2,1.2,2.8,41.9,62.9
Kentavious Caldwell-Pope,LAL,74,33.2,5.3,1.8,4.6,39.2,1.7,4.2,40.3,57.7
Kevin Durant,GSW,68,34.2,6.5,2.5,4.8,51.1,1.6,3.2,48.8,67.3
Kevin Love,CLE,59,28,7,2.5,6.1,40.4,2.1,5.1,41.1,57.5
Kevon Looney,GSW,66,13.8,0.3,0.1,0.3,40.9,0,0.1,25,43.2
Khem Birch,ORL,42,13.8,0.2,0.1,0.4,27.8,0,0,0,27.8
Khris Middleton,MIL,81,36.4,5.1,1.9,4.4,41.7,1.4,3.7,38.2,57.4
Klay Thompson,GSW,73,34.3,10.9,4.2,8.7,48.2,2.6,5.8,44.3,63
Kobi Simmons,MEM,32,20.1,1,0.3,1.1,30.6,0.3,1,32.3,44.4
Kosta Koufos,SAC,71,19.6,0.6,0.3,0.5,63.9,0,0,0,63.9
Kris Dunn,CHI,52,29.3,1.6,0.6,1.7,34.9,0.4,1.4,30.1,47.7
Kristaps Porzingis,NYK,48,32.4,9.9,4,9,44.5,1.8,4.4,41.3,54.6
Kyle Anderson,SAS,74,26.7,1,0.4,1.1,37.2,0.2,0.7,35.3,48.7
Kyle Collinsworth,DAL,32,15,0.4,0.1,0.5,25,0.1,0.5,25,37.5
Kyle Korver,CLE,73,21.6,6.5,2.2,4.8,46.3,2,4.4,45,66.5
Kyle Kuzma,LAL,77,31.2,5.6,1.9,5.2,37.7,1.7,4.6,37.6,54.5
Kyle Lowry,TOR,78,32.2,5.1,1.7,4.2,40.7,1.7,4.2,40.7,60.8
Kyle O'Quinn,NYK,76,17.9,1.1,0.5,1.2,44.1,0.1,0.2,28.6,46.2
Kyle Singler,OKC,11,3.3,0,0,0.2,0,0,0.1,0,0
Kyrie Irving,BOS,57,32.2,4.4,1.5,3.7,41.5,1.3,3.2,40.2,59
LaMarcus Aldridge,SAS,75,33.4,3.6,1.7,3.9,41.9,0.3,1.1,29.6,45.9
Lance Stephenson,IND,82,22.6,1.6,0.6,1.8,31.5,0.5,1.7,31.4,46.2
Lance Thomas,NYK,72,18.4,2.2,0.8,1.9,39.3,0.6,1.6,40.4,55.7
Langston Galloway,DET,58,14.9,3.3,1.1,3.4,32.5,1.1,3.2,33.2,47.8
Larry Drew II,NOP,10,7,0.9,0.3,0.7,42.9,0.3,0.7,42.9,64.3
Larry Nance Jr.,CLE,66,21.5,1.1,0.5,1.4,38,0,0.2,20,39.1
Lauri Markkanen,CHI,68,29.7,6.5,2.3,6.2,36.8,2,5.5,36.4,53.1
LeBron James,CLE,82,36.9,2.4,0.9,2.2,39.6,0.6,1.6,38.3,53.6
London Perrantes,CLE,14,4.7,0,0,0.1,0,0,0.1,0,0
Lonzo Ball,LAL,52,34.2,3.4,1.1,3.5,32.6,1.1,3.4,32.8,48.6
Lorenzo Brown,TOR,14,9.9,0.2,0.1,0.6,11.1,0.1,0.6,11.1,16.7
Lou Williams,LAC,79,32.8,3.8,1.3,3.4,38.9,1.2,3.1,36.8,56
Luc Mbah a Moute,HOU,61,25.6,2.9,1,2.8,34.9,1,2.7,35.3,52.4
Lucas Nogueira,TOR,49,8.5,0.3,0.1,0.4,26.3,0.1,0.4,26.3,39.5
Luis Montero,DET,2,4,0,0,0,0,0,0,0,0
Luke Babbitt,MIA,49,14.1,3.3,1.1,2.9,38.2,1,2.8,37,55.6
Luke Kennard,DET,73,20,3.3,1.2,2.5,46.2,0.9,2.1,44.2,64.9
Luke Kornet,NYK,20,16.3,3.7,1.3,4.1,30.9,1.2,3.8,32,45.7
Luol Deng,LAL,1,13.1,0,0,0,0,0,0,0,0
Malachi Richardson,TOR,26,12.4,0.9,0.3,1,30.8,0.3,0.9,29.2,44.2
Malcolm Brogdon,MIL,47,29.8,2.7,0.9,2.7,34.4,0.9,2.5,34.7,50.8
Malcolm Delaney,ATL,53,18.7,2.1,0.7,1.7,41.8,0.6,1.5,41.5,60.4
Malcolm Miller,TOR,15,8.4,1.6,0.5,1.3,40,0.5,1.3,40,60
Malik Beasley,DEN,62,9.4,1.2,0.4,1.2,33.3,0.4,1.2,33.3,50
Malik Monk,CHA,63,13.5,2,0.7,1.8,36.8,0.6,1.7,37.4,54.4
Mangok Mathiang,CHA,4,5,0,0,0,0,0,0,0,0
Manu Ginobili,SAS,65,20,2.2,0.7,2.1,35.8,0.7,1.9,38.2,53.4
MarShon Brooks,MEM,7,27.5,1.6,0.6,1.9,30.8,0.4,1.3,33.3,42.3
Marc Gasol,MEM,73,33,7.2,2.9,7,40.7,1.5,4.2,35,51
Marcin Gortat,WAS,82,25.3,0.9,0.4,1,43.4,0,0,0,43.4
Marco Belinelli,PHI,79,24.3,4.8,1.7,4.3,39.4,1.3,3.5,38.5,54.8
Marcus Georges-Hunt,MIN,42,5.3,0.2,0.1,0.3,25,0.1,0.3,27.3,37.5
Marcus Morris,BOS,52,26.8,4.3,1.5,4.1,36.9,1.3,3.5,36.6,52.6
Marcus Paige,CHA,5,5.6,1.2,0.4,1.4,28.6,0.4,1.4,28.6,42.9
Marcus Smart,BOS,51,30.1,3.1,1,3.4,30.6,1,3.2,30.9,45.4
Mario Chalmers,MEM,66,21.5,2.2,0.8,2.2,33.8,0.7,2.1,31.7,48.6
Mario Hezonja,ORL,75,22.1,3.4,1.2,3.5,33.1,1,3.1,33.3,47.9
Markel Brown,HOU,4,7.9,0,0,0.8,0,0,0.8,0,0
Markelle Fultz,PHI,14,18.1,0.4,0.2,0.3,75,0,0.1,0,75
Markieff Morris,WAS,73,27,4.7,1.8,4.2,44,1,2.7,38.7,56.2
Marquese Chriss,PHX,72,21.2,2.7,1,3,32.1,0.8,2.6,30.4,45.1
Marquis Teague,MEM,3,24.6,0,0,0.7,0,0,0.3,0,0
Marreese Speights,ORL,52,13,5.3,1.8,4.8,38.6,1.6,4.3,37.9,55.6
Marshall Plumlee,MIL,8,6.5,0,0,0,0,0,0,0,0
Marvin Williams,CHA,78,25.7,4.8,1.6,4,40.8,1.6,3.8,41.5,60.5
Mason Plumlee,DEN,74,19.5,0.1,0.1,0.1,44.4,0,0,0,44.4
Matt Costello,SAS,4,8.1,0,0,0,0,0,0,0,0
Matt Williams Jr.,MIA,3,3.8,1,0.3,1.3,25,0.3,1.3,25,37.5
Matthew Dellavedova,MIL,37,18.7,2.1,0.7,1.8,39.4,0.7,1.7,40.3,58.3
Maurice Harkless,POR,59,21.4,2.4,0.8,1.9,42.1,0.8,1.8,43.1,62.7
Maxi Kleber,DAL,72,16.8,2,0.7,2,34.9,0.6,1.7,32.5,48.6
Meyers Leonard,POR,33,7.7,1.5,0.6,1.2,47.5,0.3,0.8,44,61.3
Michael Beasley,NYK,73,22.1,1.8,0.7,1.7,44.6,0.3,0.9,37.9,55
Michael Carter-Williams,CHA,52,16.1,0.7,0.2,1.1,21.8,0.2,1,23.5,32.7
Michael Kidd-Gilchrist,CHA,74,25,0.7,0.3,0.9,39.1,0,0,0,39.1
Mike Conley,MEM,12,31.1,2.5,0.8,2.7,31.3,0.8,2.5,33.3,46.9
Mike James,NOP,36,19.1,0.6,0.2,0.8,25.9,0.2,0.8,25.9,38.9
Mike Muscala,ATL,53,20,4.2,1.5,3.7,40.7,1.2,3.1,37.8,56.7
Mike Scott,WAS,76,18.5,3.9,1.5,3.2,48,0.9,2,42.6,61.5
Miles Plumlee,ATL,55,16.7,0.1,0,0.1,40,0,0,0,40
Milos Teodosic,LAC,45,25.2,4.3,1.5,3.4,43.7,1.3,3.1,43.5,63.6
Milton Doyle,BKN,10,12.5,1.2,0.4,1.6,25,0.4,1.6,25,37.5
Mindaugas Kuzminskas,NYK,1,1.9,0,0,0,0,0,0,0,0
Mirza Teletovic,MIL,9,15.8,6.8,2.3,4.6,51.2,2.1,4.2,50,74.4
Monte Morris,DEN,3,8.4,0,0,0.3,0,0,0.3,0,0
Montrezl Harrell,LAC,76,17,0.1,0.1,0.3,22.7,0,0,0,22.7
Myke Henry,MEM,20,18.9,3.1,1.1,3,35,1,2.9,32.8,50.8
Myles Turner,IND,65,28.2,5.4,2.3,5.4,42.2,0.8,2.3,36.2,49.9
Nate Wolters,UTA,5,3.8,0,0,0,0,0,0,0,0
Naz Mitrou-Long,UTA,1,0.5,3,1,1,100,1,1,100,150
Nemanja Bjelica,MIN,67,20.5,3.2,1.1,2.6,41.3,1,2.5,41.7,61.6
Nene,HOU,52,14.6,0.7,0.3,0.7,44.7,0,0,0,44.7
Nerlens Noel,DAL,30,15.7,0.4,0.2,0.5,40,0,0,0,40
Nick Collison,OKC,13,4.4,0,0,0,0,0,0,0,0
Nick Young,GSW,80,17.4,3.5,1.2,3,40.3,1.1,2.8,39.6,58.8
Nicolas Batum,CHA,64,31,4.2,1.5,4.3,35.3,1.2,3.4,35.2,49.3
Nicolas Brussino,ATL,4,2.5,0,0,0.5,0,0,0.5,0,0
Nigel Hayes,SAC,9,13.6,1.8,0.7,2.2,30,0.4,1.8,25,40
Nik Stauskas,BKN,41,12.8,1.9,0.6,1.5,42.6,0.6,1.5,42.6,63.9
Nikola Jokic,DEN,75,32.6,6,2.3,5.3,43.6,1.3,3.3,40.1,56
Nikola Mirotic,NOP,55,27.2,6.5,2.2,6.2,36,2,5.5,37.3,52.5
Nikola Vucevic,ORL,57,29.5,6.2,2.6,6.8,37.5,1.1,3.5,31.7,45.8
Noah Vonleh,CHI,54,16.2,1.4,0.6,1.6,34.1,0.3,1.1,31.6,44.3
Norman Powell,TOR,70,15.2,2,0.7,2.2,31.1,0.6,2.1,30.6,46
OG Anunoby,TOR,74,20,2.7,0.9,2.5,35.5,0.9,2.5,35.3,53
Okaro White,CLE,6,13.3,2,0.7,1.8,36.4,0.7,1.8,36.4,54.5
Omari Johnson,MEM,4,18.8,3,1,3.3,30.8,1,3,33.3,46.2
Omer Asik,CHI,18,10.1,0.1,0.1,0.1,50,0,0,0,50
Omri Casspi,GSW,53,14,0.5,0.2,0.4,52.6,0.2,0.3,50,76.3
Otto Porter Jr.,WAS,77,31.6,5.9,2.2,4.8,46.4,1.5,3.5,43.5,62.4
PJ Dozier,OKC,2,1.6,0,0,0,0,0,0,0,0
PJ Tucker,HOU,82,27.8,4.3,1.5,3.9,37.6,1.4,3.6,37.8,55.3
Pascal Siakam,TOR,81,20.7,1.1,0.4,1.7,22.9,0.4,1.6,22.3,33.2
Pat Connaughton,POR,82,18.1,2.4,0.8,2.3,34.9,0.8,2.3,34.9,51.8
Patrick Beverley,LAC,11,30.3,4.9,1.6,4,40.9,1.6,3.8,42.9,61.4
Patrick McCaw,GSW,57,16.9,1.1,0.4,1.4,29.5,0.3,1.2,27.3,41
Patrick Patterson,OKC,80,15.3,2.4,0.8,2.2,36.8,0.8,2,37.4,54.3
Patty Mills,SAS,82,25.7,3.7,1.3,3.5,35.9,1.2,3.4,36.1,53.3
Pau Gasol,SAS,77,23.5,3.1,1.2,3.4,36.5,0.6,1.6,35.8,44.7
Paul George,OKC,78,36.6,7.3,2.5,6.3,39.6,2.3,5.6,40.8,57.5
Paul Millsap,DEN,38,30.1,3,1.1,2.8,38,0.9,2.4,35.5,53.2
Paul Zipser,CHI,54,15.3,2.2,0.8,2.1,36,0.7,1.9,36,51.8
Quincy Acy,BKN,68,19.5,4.4,1.5,4.2,35.4,1.4,4,35.3,52.5
Quincy Pondexter,CHI,23,8.5,0.4,0.1,0.8,16.7,0.1,0.7,17.6,25
Quinn Cook,GSW,33,22.4,2.2,0.8,1.7,43.9,0.7,1.6,45.3,64.9
RJ Hunter,HOU,5,9,0.6,0.2,1.2,16.7,0.2,1.2,16.7,25
Rajon Rondo,NOP,65,26.2,1.5,0.5,1.7,30.1,0.5,1.6,29.8,43.8
