PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,EFG%
Tony Parker,SAS,55,19.5,0.8,0.3,1,31.5,0.2,0.6,26.5,39.8
Tony Snell,MIL,74,27.4,4.1,1.4,3.6,38.2,1.4,3.4,40.1,57.1
Torrey Craig,DEN,39,16.1,1.5,0.5,1.4,37.5,0.4,1.3,32.7,52.7
Travis Wear,LAL,17,13.4,2.7,0.9,2.8,33.3,0.8,2.2,36.8,47.9
Treveon Graham,CHA,63,16.7,1.9,0.6,1.5,41.2,0.6,1.4,42.9,61.3
Trevor Ariza,HOU,67,33.9,6.8,2.3,5.8,39,2.3,5.7,39.4,58.5
Trevor Booker,IND,67,17.1,0.4,0.1,0.6,27,0.1,0.4,22.2,35.1
Trey Burke,NYK,36,21.8,2.7,1,2.1,46.7,0.8,1.8,42.2,64.7
Trey Lyles,DEN,73,19.1,3.4,1.2,2.8,41.1,1.1,2.6,40.6,59.9
Trey McKinney-Jones,IND,1,1.2,0,0,0,0,0,0,0,0
Tristan Thompson,CLE,53,20.2,0.1,0,0.1,33.3,0,0,0,33.3
Troy Daniels,PHX,79,20.5,5.6,1.9,4.7,40,1.8,4.4,40.2,58.5
Troy Williams,NYK,21,14.6,1.5,0.5,1.6,32.4,0.5,1.6,30.3,47.1
Tyler Cavanaugh,ATL,38,13.3,2.7,0.9,2.3,40.4,0.8,2.2,37.3,57.9
Tyler Dorsey,ATL,56,17.4,2.6,0.9,2.5,35.5,0.9,2.4,35,52.5
Tyler Ennis,LAL,54,12.7,0.5,0.2,0.7,27.8,0.2,0.6,25.7,40.3
Tyler Johnson,MIA,71,28.5,5.2,1.8,4.9,37.1,1.5,4.2,36.9,53
Tyler Lydon,DEN,1,2.2,0,0,0,0,0,0,0,0
Tyler Ulis,PHX,71,23.4,0.9,0.3,0.9,33.3,0.3,0.8,31,47
Tyler Zeller,MIL,64,16.7,0.6,0.2,0.6,35,0.2,0.4,38.5,47.5
Tyreke Evans,MEM,52,30.9,2.8,0.9,2.4,39.2,0.9,2.3,38.5,57.2
Tyrone Wallace,LAC,30,28.4,1,0.3,1.4,24.4,0.3,1.3,25.6,36.6
Tyson Chandler,PHX,46,25,0.1,0,0.1,66.7,0,0,0,66.7
Tyus Jones,MIN,82,17.9,1.6,0.5,1.4,39.6,0.5,1.3,38.7,58.1
Udonis Haslem,MIA,14,5.1,0.2,0.1,0.9,7.7,0.1,0.6,12.5,11.5
Vander Blue,LAL,5,9,0,0,0.4,0,0,0.4,0,0
Victor Oladipo,IND,75,34,4,1.5,3.6,40.4,1.1,2.9,38.9,55.9
Vince Carter,SAC,58,17.7,2.9,1,2.6,38.8,0.9,2.4,37.7,55.9
Vincent Hunter,MEM,4,1.9,0.5,0.3,0.3,100,0,0,0,100
Wade Baldwin IV,POR,7,11.5,1.3,0.4,0.4,100,0.4,0.4,100,150
Walter Lemon Jr.,NOP,5,7,0,0,0,0,0,0,0,0
